
[2021-01-29 11:26:44.433] 022634.80,,,,,0,00,99.99,,,,,177.8,*56
[2021-01-29 11:26:44.464] $GNGGA,022634.90,,,,,0,00,99.99,,,,,177.9,*56
[2021-01-29 11:26:44.464] $GNGGA,022635.00,,,,,0,00,99.99,,,,,178.0,*58
[2021-01-29 11:26:44.464] $GNGGA,022635.10,,,,,0,00,99.99,,,,,178.1,*58
[2021-01-29 11:26:44.464] $GNGGA,022635.20,,,,,0,00,99.99,,,,,178.2,*58
[2021-01-29 11:26:44.464] $GNGGA,022635.30,,,,,0,00,99.99,,,,,178.3,*58
[2021-01-29 11:26:44.464] $GNGGA,022635.40,,,,,0,00,99.99,,,,,178.4,*58
[2021-01-29 11:26:44.464] $GNGGA,022635.50,,,,,0,00,99.99,,,,,178.5,*58
[2021-01-29 11:26:44.464] $GNGGA,022635.60,,,,,0,00,99.99,,,,,178.6,*58
[2021-01-29 11:26:44.464] $GNGGA,022635.70,,,,,0,00,99.99,,,,,178.7,*58
[2021-01-29 11:26:44.464] $GNGGA,022635.80,,,,,0,00,99.99,,,,,178.8,*58
[2021-01-29 11:26:44.464] $GNGGA,022635.90,,,,,0,00,99.99,,,,,178.9,*58
[2021-01-29 11:26:44.464] $GNGGA,022636.00,,,,,0,00,99.99,,,,,179.0,*5A
[2021-01-29 11:26:44.464] $GNGGA,022636.10,,,,,0,00,99.99,,,,,179.1,*5A
[2021-01-29 11:26:44.464] $GNGGA,022636.20,,,,,0,00,99.99,,,,,179.2,*5A
[2021-01-29 11:26:44.464] $GNGGA,022636.30,,,,,0,00,99.99,,,,,179.3,*5A
[2021-01-29 11:26:44.464] $GNGGA,022636.40,,,,,0,00,99.99,,,,,179.4,*5A
[2021-01-29 11:26:44.464] $GNGGA,022636.50,,,,,0,00,99.99,,,,,179.5,*5A
[2021-01-29 11:26:44.464] $GNGGA,022636.60,,,,,0,00,99.99,,,,,179.6,*5A
[2021-01-29 11:26:44.464] $GNGGA,022636.70,,,,,0,00,99.99,,,,,179.7,*5A
[2021-01-29 11:26:44.464] $GNGGA,022636.80,,,,,0,00,99.99,,,,,179.8,*5A
[2021-01-29 11:26:44.464] $GNGGA,022636.90,,,,,0,00,99.99,,,,,179.9,*5A
[2021-01-29 11:26:44.464] $GNGGA,022637.00,,,,,0,00,99.99,,,,,180.0,*5D
[2021-01-29 11:26:44.480] $GNGGA,022637.10,,,,,0,00,99.99,,,,,180.1,*5D
[2021-01-29 11:26:44.480] $GNGGA,022637.20,,,,,0,00,99.99,,,,,180.2,*5D
[2021-01-29 11:26:44.480] $GNGGA,022637.30,,,,,0,00,99.99,,,,,180.3,*5D
[2021-01-29 11:26:44.480] $GNGGA,022637.40,,,,,0,00,99.99,,,,,180.4,*5D
[2021-01-29 11:26:44.480] $GNGGA,022637.50,,,,,0,00,99.99,,,,,180.5,*5D
[2021-01-29 11:26:44.480] $GNGGA,022637.60,,,,,0,00,99.99,,,,,180.6,*5D
[2021-01-29 11:26:44.480] $GNGGA,022637.70,,,,,0,00,99.99,,,,,180.7,*5D
[2021-01-29 11:26:44.480] $GNGGA,022637.80,,,,,0,00,99.99,,,,,180.8,*5D
[2021-01-29 11:26:44.480] $GNGGA,022637.90,,,,,0,00,99.99,,,,,180.9,*5D
[2021-01-29 11:26:44.480] $GNGGA,022638.00,,,,,0,00,99.99,,,,,181.0,*53
[2021-01-29 11:26:44.480] $GNGGA,022638.10,,,,,0,00,99.99,,,,,181.1,*53
[2021-01-29 11:26:44.480] $GNGGA,022638.20,,,,,0,00,99.99,,,,,181.2,*53
[2021-01-29 11:26:44.480] $GNGGA,022638.30,,,,,0,00,99.99,,,,,181.3,*53
[2021-01-29 11:26:44.480] $GNGGA,022638.40,,,,,0,00,99.99,,,,,181.4,*53
[2021-01-29 11:26:44.480] $GNGGA,022638.50,,,,,0,00,99.99,,,,,181.5,*53
[2021-01-29 11:26:44.480] $GNGGA,022638.60,,,,,0,00,99.99,,,,,181.6,*53
[2021-01-29 11:26:44.480] $GNGGA,022638.70,,,,,0,00,99.99,,,,,181.7,*53
[2021-01-29 11:26:44.480] $GNGGA,022638.80,,,,,0,00,99.99,,,,,181.8,*53
[2021-01-29 11:26:44.480] $GNGGA,022638.90,,,,,0,00,99.99,,,,,181.9,*53
[2021-01-29 11:26:44.480] $GNGGA,022639.00,,,,,0,00,99.99,,,,,182.0,*51
[2021-01-29 11:26:44.480] $GNGGA,022639.10,,,,,0,00,99.99,,,,,182.1,*51
[2021-01-29 11:26:44.480] $GNGGA,022639.20,,,,,0,00,99.99,,,,,182.2,*51
[2021-01-29 11:26:44.495] $GNGGA,022639.30,,,,,0,00,99.99,,,,,182.3,*51
[2021-01-29 11:26:44.495] $GNGGA,022639.40,,,,,0,00,99.99,,,,,182.4,*51
[2021-01-29 11:26:44.495] $GNGGA,022639.50,,,,,0,00,99.99,,,,,182.5,*51
[2021-01-29 11:26:44.495] $GNGGA,022639.60,,,,,0,00,99.99,,,,,182.6,*51
[2021-01-29 11:26:44.495] $GNGGA,022639.70,,,,,0,00,99.99,,,,,182.7,*51
[2021-01-29 11:26:44.495] $GNGGA,022639.80,,,,,0,00,99.99,,,,,182.8,*51
[2021-01-29 11:26:44.495] $GNGGA,022639.90,,,,,0,00,99.99,,,,,182.9,*51
[2021-01-29 11:26:44.495] $GNGGA,022640.00,,,,,0,00,99.99,,,,,183.0,*5E
[2021-01-29 11:26:44.495] $GNGGA,022640.10,,,,,0,00,99.99,,,,,183.1,*5E
[2021-01-29 11:26:44.495] $GNGGA,022640.20,,,,,0,00,99.99,,,,,183.2,*5E
[2021-01-29 11:26:44.495] $GNGGA,022640.30,,,,,0,00,99.99,,,,,183.3,*5E
[2021-01-29 11:26:44.495] $GNGGA,022640.40,,,,,0,00,99.99,,,,,183.4,*5E
[2021-01-29 11:26:44.495] $GNGGA,022640.50,,,,,0,00,99.99,,,,,183.5,*5E
[2021-01-29 11:26:44.495] $GNGGA,022640.60,,,,,0,00,99.99,,,,,183.6,*5E
[2021-01-29 11:26:44.495] $GNGGA,022640.70,,,,,0,00,99.99,,,,,183.7,*5E
[2021-01-29 11:26:44.495] $GNGGA,022640.80,,,,,0,00,99.99,,,,,183.8,*5E
[2021-01-29 11:26:44.495] $GNGGA,022640.90,,,,,0,00,99.99,,,,,183.9,*5E
[2021-01-29 11:26:44.495] $GNGGA,022641.00,,,,,0,00,99.99,,,,,184.0,*58
[2021-01-29 11:26:44.495] $GNGGA,022641.10,,,,,0,00,99.99,,,,,184.1,*58
[2021-01-29 11:26:44.495] $GNGGA,022641.20,,,,,0,00,99.99,,,,,184.2,*58
[2021-01-29 11:26:44.495] $GNGGA,022641.30,,,,,0,00,99.99,,,,,184.3,*58
[2021-01-29 11:26:44.495] $GNGGA,022641.40,,,,,0,00,99.99,,,,,184.4,*58
[2021-01-29 11:26:44.495] $GNGGA,022641.50,,,,,0,00,99.99,,,,,184.5,*58
[2021-01-29 11:26:44.495] $GNGGA,022641.60,,,,,0,00,99.99,,,,,184.6,*58
[2021-01-29 11:26:44.495] $GNGGA,022641.70,,,,,0,00,99.99,,,,,184.7,*58
[2021-01-29 11:26:44.495] $GNGGA,022641.80,,,,,0,00,99.99,,,,,184.8,*58
[2021-01-29 11:26:44.495] $GNGGA,022641.90,,,,,0,00,99.99,,,,,184.9,*58
[2021-01-29 11:26:44.495] $GNGGA,022642.00,,,,,0,00,99.99,,,,,185.0,*5A
[2021-01-29 11:26:44.495] $GNGGA,022642.10,,,,,0,00,99.99,,,,,185.1,*5A
[2021-01-29 11:26:44.495] $GNGGA,022642.20,,,,,0,00,99.99,,,,,185.2,*5A
[2021-01-29 11:26:44.495] $GNGGA,022642.30,,,,,0,00,99.99,,,,,185.3,*5A
[2021-01-29 11:26:44.495] $GNGGA,022642.40,,,,,0,00,99.99,,,,,185.4,*5A
[2021-01-29 11:26:44.495] $GNGGA,022642.50,,,,,0,00,99.99,,,,,185.5,*5A
[2021-01-29 11:26:44.495] $GNGGA,022642.60,,,,,0,00,99.99,,,,,185.6,*5A
[2021-01-29 11:26:44.495] $GNGGA,022642.70,,,,,0,00,99.99,,,,,185.7,*5A
[2021-01-29 11:26:44.495] $GNGGA,022642.80,,,,,0,00,99.99,,,,,185.8,*5A
[2021-01-29 11:26:44.495] $GNGGA,022642.90,,,,,0,00,99.99,,,,,185.9,*5A
[2021-01-29 11:26:44.558] $GNGGA,022643.00,,,,,0,00,99.99,,,,,186.0,*58
[2021-01-29 11:26:44.667] $GNGGA,022643.10,,,,,0,00,99.99,,,,,186.1,*58
[2021-01-29 11:26:44.761] $GNGGA,022643.20,,,,,0,00,99.99,,,,,186.2,*58
[2021-01-29 11:26:44.855] $GNGGA,022643.30,,,,,0,00,99.99,,,,,186.3,*58
[2021-01-29 11:26:44.964] $GNGGA,022643.40,,,,,0,00,99.99,,,,,186.4,*58
[2021-01-29 11:26:45.058] $GNGGA,022643.50,,,,,0,00,99.99,,,,,186.5,*58
[2021-01-29 11:26:45.167] $GNGGA,022643.60,,,,,0,00,99.99,,,,,186.6,*58
[2021-01-29 11:26:45.260] $GNGGA,022643.70,,,,,0,00,99.99,,,,,186.7,*58
[2021-01-29 11:26:45.358] $GNGGA,022643.80,,,,,0,00,99.99,,,,,186.8,*58
[2021-01-29 11:26:45.467] $GNGGA,022643.90,,,,,0,00,99.99,,,,,186.9,*58
[2021-01-29 11:26:45.561] $GNGGA,022644.00,,,,,0,00,99.99,,,,,187.0,*5E
[2021-01-29 11:26:45.655] $GNGGA,022644.10,,,,,0,00,99.99,,,,,187.1,*5E
[2021-01-29 11:26:45.780] $GNGGA,022644.20,,,,,0,00,99.99,,,,,187.2,*5E
[2021-01-29 11:26:45.858] $GNGGA,022644.30,,,,,0,00,99.99,,,,,187.3,*5E
[2021-01-29 11:26:45.951] $GNGGA,022644.40,,,,,0,00,99.99,,,,,187.4,*5E
[2021-01-29 11:26:46.061] $GNGGA,022644.50,,,,,0,00,99.99,,,,,187.5,*5E
[2021-01-29 11:26:46.155] $GNGGA,022644.60,,,,,0,00,99.99,,,,,187.6,*5E
[2021-01-29 11:26:46.262] $GNGGA,022644.70,,,,,0,00,99.99,,,,,187.7,*5E
[2021-01-29 11:26:46.356] $GNGGA,022644.80,,,,,0,00,99.99,,,,,187.8,*5E
[2021-01-29 11:26:46.465] $GNGGA,022644.90,,,,,0,00,99.99,,,,,187.9,*5E
[2021-01-29 11:26:46.559] $GNGGA,022645.00,,,,,0,00,99.99,,,,,188.0,*50
[2021-01-29 11:26:46.653] $GNGGA,022645.10,,,,,0,00,99.99,,,,,188.1,*50
[2021-01-29 11:26:46.762] $GNGGA,022645.20,,,,,0,00,99.99,,,,,188.2,*50
[2021-01-29 11:26:46.856] $GNGGA,022645.30,,,,,0,00,99.99,,,,,188.3,*50
[2021-01-29 11:26:46.965] $GNGGA,022645.40,,,,,0,00,99.99,,,,,188.4,*50
[2021-01-29 11:26:47.059] $GNGGA,022645.50,,,,,0,00,99.99,,,,,188.5,*50
[2021-01-29 11:26:47.153] $GNGGA,022645.60,,,,,0,00,99.99,,,,,188.6,*50
[2021-01-29 11:26:47.263] $GNGGA,022645.70,,,,,0,00,99.99,,,,,188.7,*50
[2021-01-29 11:26:47.357] $GNGGA,022645.80,,,,,0,00,99.99,,,,,188.8,*50
[2021-01-29 11:26:47.466] $GNGGA,022645.90,,,,,0,00,99.99,,,,,188.9,*50
[2021-01-29 11:26:47.560] $GNGGA,022646.00,,,,,0,00,99.99,,,,,189.0,*52
[2021-01-29 11:26:47.654] $GNGGA,022646.10,,,,,0,00,99.99,,,,,189.1,*52
[2021-01-29 11:26:47.763] $GNGGA,022646.20,,,,,0,00,99.99,,,,,189.2,*52
[2021-01-29 11:26:47.857] $GNGGA,022646.30,,,,,0,00,99.99,,,,,189.3,*52
[2021-01-29 11:26:47.966] $GNGGA,022646.40,,,,,0,00,99.99,,,,,189.4,*52
[2021-01-29 11:26:48.060] $GNGGA,022646.50,,,,,0,00,99.99,,,,,189.5,*52
[2021-01-29 11:26:48.154] $GNGGA,022646.60,,,,,0,00,99.99,,,,,189.6,*52
[2021-01-29 11:26:48.266] $GNGGA,022646.70,,,,,0,00,99.99,,,,,189.7,*52
[2021-01-29 11:26:48.360] $GNGGA,022646.80,,,,,0,00,99.99,,,,,189.8,*52
[2021-01-29 11:26:48.453] $GNGGA,022646.90,,,,,0,00,99.99,,,,,189.9,*52
[2021-01-29 11:26:48.563] $GNGGA,022647.00,,,,,0,00,99.99,,,,,190.0,*5B
[2021-01-29 11:26:48.656] $GNGGA,022647.10,,,,,0,00,99.99,,,,,190.1,*5B
[2021-01-29 11:26:48.766] $GNGGA,022647.20,,,,,0,00,99.99,,,,,190.2,*5B
[2021-01-29 11:26:48.860] $GNGGA,022647.30,,,,,0,00,99.99,,,,,190.3,*5B
[2021-01-29 11:26:48.953] $GNGGA,022647.40,,,,,0,00,99.99,,,,,190.4,*5B
[2021-01-29 11:26:49.063] $GNGGA,022647.50,,,,,0,00,99.99,,,,,190.5,*5B
[2021-01-29 11:26:49.156] $GNGGA,022647.60,,,,,0,00,99.99,,,,,190.6,*5B
[2021-01-29 11:26:49.267] $GNGGA,022647.70,,,,,0,00,99.99,,,,,190.7,*5B
[2021-01-29 11:26:49.361] $GNGGA,022647.80,,,,,0,00,99.99,,,,,190.8,*5B
[2021-01-29 11:26:49.454] $GNGGA,022647.90,,,,,0,00,99.99,,,,,190.9,*5B
[2021-01-29 11:26:49.564] $GNGGA,022648.00,,,,,0,00,99.99,,,,,191.0,*55
[2021-01-29 11:26:49.657] $GNGGA,022648.10,,,,,0,00,99.99,,,,,191.1,*55
[2021-01-29 11:26:49.767] $GNGGA,022648.20,,,,,0,00,99.99,,,,,191.2,*55
[2021-01-29 11:26:49.861] $GNGGA,022648.30,,,,,0,00,99.99,,,,,191.3,*55
[2021-01-29 11:26:49.954] $GNGGA,022648.40,,,,,0,00,99.99,,,,,191.4,*55
[2021-01-29 11:26:50.064] $GNGGA,022648.50,,,,,0,00,99.99,,,,,191.5,*55
[2021-01-29 11:26:50.157] $GNGGA,022648.60,,,,,0,00,99.99,,,,,191.6,*55
[2021-01-29 11:26:50.259] $GNGGA,022648.70,,,,,0,00,99.99,,,,,191.7,*55
[2021-01-29 11:26:50.362] $GNGGA,022648.80,,,,,0,00,99.99,,,,,191.8,*55
[2021-01-29 11:26:50.456] $GNGGA,022648.90,,,,,0,00,99.99,,,,,191.9,*55
[2021-01-29 11:26:50.565] $GNGGA,022649.00,,,,,0,00,99.99,,,,,192.0,*57
[2021-01-29 11:26:50.659] $GNGGA,022649.10,,,,,0,00,99.99,,,,,192.1,*57
[2021-01-29 11:26:50.753] $GNGGA,022649.20,,,,,0,00,99.99,,,,,192.2,*57
[2021-01-29 11:26:50.862] $GNGGA,022649.30,,,,,0,00,99.99,,,,,192.3,*57
[2021-01-29 11:26:50.956] $GNGGA,022649.40,,,,,0,00,99.99,,,,,192.4,*57
[2021-01-29 11:26:51.065] $GNGGA,022649.50,,,,,0,00,99.99,,,,,192.5,*57
[2021-01-29 11:26:51.159] $GNGGA,022649.60,,,,,0,00,99.99,,,,,192.6,*57
[2021-01-29 11:26:51.263] $GNGGA,022649.70,,,,,0,00,99.99,,,,,192.7,*57
[2021-01-29 11:26:51.364] $GNGGA,022649.80,,,,,0,00,99.99,,,,,192.8,*57
[2021-01-29 11:26:51.457] $GNGGA,022649.90,,,,,0,00,99.99,,,,,192.9,*57
[2021-01-29 11:26:51.551] $GNGGA,022650.00,,,,,0,00,99.99,,,,,193.0,*5E
[2021-01-29 11:26:51.661] $GNGGA,022650.10,,,,,0,00,99.99,,,,,193.1,*5E
[2021-01-29 11:26:51.754] $GNGGA,022650.20,,,,,0,00,99.99,,,,,193.2,*5E
[2021-01-29 11:26:51.864] $GNGGA,022650.30,,,,,0,00,99.99,,,,,193.3,*5E
[2021-01-29 11:26:51.957] $GNGGA,022650.40,,,,,0,00,99.99,,,,,193.4,*5E
[2021-01-29 11:26:52.067] $GNGGA,022650.50,,,,,0,00,99.99,,,,,193.5,*5E
[2021-01-29 11:26:52.160] $GNGGA,022650.60,,,,,0,00,99.99,,,,,193.6,*5E
[2021-01-29 11:26:52.263] $GNGGA,022650.70,,,,,0,00,99.99,,,,,193.7,*5E
[2021-01-29 11:26:52.365] $GNGGA,022650.80,,,,,0,00,99.99,,,,,193.8,*5E
[2021-01-29 11:26:52.459] $GNGGA,022650.90,,,,,0,00,99.99,,,,,193.9,*5E
[2021-01-29 11:26:52.553] $GNGGA,022651.00,,,,,0,00,99.99,,,,,194.0,*58
[2021-01-29 11:26:52.662] $GNGGA,022651.10,,,,,0,00,99.99,,,,,194.1,*58
[2021-01-29 11:26:52.756] $GNGGA,022651.20,,,,,0,00,99.99,,,,,194.2,*58
[2021-01-29 11:26:52.865] $GNGGA,022651.30,,,,,0,00,99.99,,,,,194.3,*58
[2021-01-29 11:26:52.959] $GNGGA,022651.40,,,,,0,00,99.99,,,,,194.4,*58
[2021-01-29 11:26:53.052] $GNGGA,022651.50,,,,,0,00,99.99,,,,,194.5,*58
[2021-01-29 11:26:53.162] $GNGGA,022651.60,,,,,0,00,99.99,,,,,194.6,*58
[2021-01-29 11:26:53.264] $GNGGA,022651.70,,,,,0,00,99.99,,,,,194.7,*58
[2021-01-29 11:26:53.351] $GNGGA,022651.80,,,,,0,00,99.99,,,,,194.8,*58
