,Positioning time,Fix ratio,Time to first fix [s],X std [cm],Y std [cm],X ave,Y ave
1_aqloc_hoge.csv,0 days 01:26:15.600000000,0.890561761,265.6,1.418875505,1.445658957,565135.3554,4812507.737
1_magellan.csv,0 days 01:26:12.200000000,0.878087534,164.4,1.452230561,1.040187259,565135.3539,4812507.746
1_ntrip.csv,0 days 01:25:54.200000000,0.983239395,51.4,0.810924208,0.587165663,565135.363,4812507.757
1_radio.csv,0 days 01:26:02.000000000,0.984017595,51,0.515092776,0.419591145,565135.3629,4812507.763
hoge1_aqloc.csv,0 days 01:26:15.600000000,0.90283168,78.4,3.404600956,13.49120444,565135.3555,4812507.787
2_aqloc.csv,0 days 00:29:39.400000000,0.686441489,582.1,2.0666803,1.308906161,565159.958,4812453.819
2_magellan.csv,0 days 00:29:38.700000000,0.869673704,272.6,1.762725929,1.691604728,565159.9601,4812453.819
2_ntrip.csv,0 days 00:26:35.900000000,0.406903877,27.3,0.736317754,0.787643065,565159.9647,4812453.831
2_radio.csv,0 days 00:26:40.500000000,0.980696203,0,0.67464655,0.465710129,565159.9558,4812453.828
3_aqloc.csv,0 days 00:25:12.900000000,0.829601,7.7,32.06625271,9.229186275,565181.52,4812440.07
3_magellan.csv,0 days 00:23:39.300000000,0.899115662,126.7,1.303376712,1.82873588,565181.558,4812440.076
3_ntrip.csv,0 days 00:23:27.300000000,0.790247953,15,0.779809152,0.866466991,565181.5492,4812440.086
3_radio.csv,0 days 00:23:33.400000000,0.984063745,11,0.470469019,0.431031313,565181.5647,4812440.073
4_aqloc.csv,0 days 01:31:44.200000000,0.815105607,287.2,1.780090982,0.897602096,565197.9917,4812459.551
4_magellan.csv,0 days 01:30:23.700000000,0.923824959,105.8,2.260836722,1.333298715,565197.992,4812459.554
4_ntrip.csv,0 days 01:31:35.700000000,0.882326672,185.5,0.917301403,0.808553983,565197.9894,4812459.566
4_radio.csv,0 days 01:31:37.900000000,0.979841853,18.2,0.901917029,0.681244412,565197.9907,4812459.565
