,Format,Time,Latitude,LatType,Longitude,LonType,Status,Satellite,LevelAccuracy,Altitude(sea),M(sea),Altitude(geoid),M(geoid),DGPS use,checksum,Lat,Lon,UTM_X,UTM_Y
3764,[2021-01-29 11:11:09.769] $GNGGA,21108.2,4327.729252292,N,14148.329540821002,E,4,9,1.24,110.65700000000001,M,31.866,M,6.2,2010*6E,43.462154204866664,141.8054923470167,565160.2662556977,4812453.391719708
3765,[2021-01-29 11:11:09.873] $GNGGA,21108.3,4327.72925249,N,14148.329541079,E,4,9,1.24,110.654,M,31.866,M,6.3,2010*6D,43.46215420816667,141.80549235131664,565160.2665999974,4812453.392089564
3766,[2021-01-29 11:11:09.969] $GNGGA,21108.4,4327.729252706,N,14148.32954123,E,4,9,1.24,110.65799999999999,M,31.866,M,6.4,2010*62,43.462154211766666,141.8054923538333,565160.2667997165,4812453.392491341
3767,[2021-01-29 11:11:10.065] $GNGGA,21108.5,4327.7292528259995,N,14148.329541625,E,4,9,1.24,110.65299999999999,M,31.866,M,6.5,2010*64,43.46215421376667,141.80549236041668,565160.2673301336,4812453.392718607
3768,[2021-01-29 11:11:10.166] $GNGGA,21108.6,4327.729253023,N,14148.32954027,E,4,9,1.24,110.65899999999999,M,31.866,M,6.6,2010*67,43.46215421705,141.80549233783336,565160.2654997223,4812453.393065579
3769,[2021-01-29 11:11:10.262] $GNGGA,21108.7,4327.72925353,N,14148.32954048,E,4,10,1.21,110.65700000000001,M,31.866,M,6.7,2010*6A,43.46215422550001,141.80549234133335,565160.2657737806,4812453.394006758
3770,[2021-01-29 11:11:10.366] $GNGGA,21108.8,4327.729252832,N,14148.32954148,E,4,10,1.21,110.65899999999999,M,31.866,M,6.8,2010*6B,43.462154213866675,141.80549235799998,565160.2671345256,4812453.392727825
3771,[2021-01-29 11:11:10.462] $GNGGA,21108.9,4327.729253188,N,14148.329541517,E,4,10,1.21,110.666,M,31.866,M,6.9,2010*61,43.4621542198,141.80549235861668,565160.2671780407,4812453.393387248
3772,[2021-01-29 11:11:10.567] $GNGGA,21109.0,4327.729253941,N,14148.329540407,E,4,10,1.21,110.662,M,31.866,M,7.0,2010*69,43.462154232349995,141.80549234011664,565160.265667998,4812453.394766551
3773,[2021-01-29 11:11:10.663] $GNGGA,21109.1,4327.729253282,N,14148.329540336,E,4,10,1.21,110.67,M,31.866,M,2.1,2010*6E,43.46215422136667,141.80549233893336,565160.2655840719,4812453.39354584
3774,[2021-01-29 11:11:10.767] $GNGGA,21109.2,4327.729252102999,N,14148.329540168,E,4,10,1.21,110.676,M,31.866,M,2.2,2010*6A,43.46215420171665,141.80549233613334,565160.2653786698,4812453.391361359
3775,[2021-01-29 11:11:10.863] $GNGGA,21109.3,4327.729252449,N,14148.329540173001,E,4,10,1.21,110.677,M,31.866,M,2.3,2010*6A,43.46215420748334,141.80549233621667,565160.265379217,4812453.392001861
3776,[2021-01-29 11:11:10.967] $GNGGA,21109.4,4327.729251447,N,14148.329540328,E,4,10,1.21,110.681,M,31.866,M,2.4,2010*62,43.46215419078333,141.8054923388,565160.2656061323,4812453.390149214
3777,[2021-01-29 11:11:11.063] $GNGGA,21109.5,4327.729250899,N,14148.329541548,E,4,10,1.21,110.677,M,31.866,M,2.5,2010*64,43.46215418165,141.80549235913332,565160.2672608104,4812453.389150792
3778,[2021-01-29 11:11:11.167] $GNGGA,21109.6,4327.729251214,N,14148.329540973999,E,4,10,1.21,110.681,M,31.866,M,2.6,2010*61,43.4621541869,141.80549234956663,565160.2664812729,4812453.389726362
