,Format,Time,Latitude,LatType,Longitude,LonType,Status,Satellite,LevelAccuracy,Altitude(sea),M(sea),Altitude(geoid),M(geoid),DGPS use,checksum,Lat,Lon,UTM_X,UTM_Y
842,[2021-01-29 11:06:37.295] $GPGGA,20635.9,4327.72949211,N,14148.32931975,E,4,6.0,1.4,110.97399999999999,M,31.59,M,1.9,0202*4B,43.46215820183333,141.80548866250004,565159.963902859,4812453.832731918
843,[2021-01-29 11:06:37.404] $GPGGA,20636.0,4327.72949409,N,14148.32931825,E,4,6.0,1.4,110.978,M,31.59,M,2.0,0202*4C,43.46215823483333,141.80548863750002,565159.9618450322,4812453.8363772705
844,[2021-01-29 11:06:37.498] $GPGGA,20636.1,4327.72949239,N,14148.32931773,E,4,6.0,1.4,110.979,M,31.59,M,1.1,0202*47,43.4621582065,141.80548862883333,565159.9611743684,4812453.83322385
845,[2021-01-29 11:06:37.591] $GPGGA,20636.2,4327.7294924,N,14148.32931921,E,4,6.0,1.4,110.973,M,31.59,M,1.2,0202*4A,43.46215820666666,141.80548865350002,565159.9631696083,4812453.833261656
846,[2021-01-29 11:06:37.701] $GPGGA,20636.3,4327.72949326,N,14148.3293187,E,4,6.0,1.4,110.977,M,31.59,M,1.3,0202*4A,43.462158221,141.80548864499997,565159.9624666004,4812453.834846837
847,[2021-01-29 11:06:37.795] $GPGGA,20636.4,4327.72949028,N,14148.32931396,E,4,6.0,1.4,110.98299999999999,M,31.59,M,1.4,0202*4F,43.462158171333336,141.80548856599998,565159.9561292212,4812453.829269156
848,[2021-01-29 11:06:37.888] $GPGGA,20636.5,4327.72949298,N,14148.32931903,E,4,6.0,1.4,110.973,M,31.59,M,1.5,0202*4F,43.462158216333336,141.8054886505,565159.9629165379,4812453.83433287
849,[2021-01-29 11:06:37.998] $GPGGA,20636.6,4327.7294908,N,14148.32931842,E,4,6.0,1.4,110.98299999999999,M,31.59,M,1.6,0202*4F,43.46215818,141.80548864033332,565159.9621331256,4812453.830289813
850,[2021-01-29 11:06:38.091] $GPGGA,20636.7,4327.72949084,N,14148.32931689,E,4,6.0,1.4,110.99,M,31.59,M,1.7,0202*40,43.46215818066667,141.8054886148333,565159.9600695802,4812453.830343901
851,[2021-01-29 11:06:38.201] $GPGGA,20636.8,4327.72949114,N,14148.32931694,E,4,6.0,1.4,110.985,M,31.59,M,0.8,0202*41,43.462158185666674,141.8054886156667,565159.9601316266,4812453.830899843
852,[2021-01-29 11:06:38.295] $GPGGA,20636.9,4327.72949125,N,14148.32931837,E,4,6.0,1.4,110.979,M,31.59,M,0.9,0202*47,43.46215818750001,141.8054886395,565159.9620576598,4812453.831122096
853,[2021-01-29 11:06:38.404] $GPGGA,20637.0,4327.72949208,N,14148.32931756,E,4,6.0,1.4,110.986,M,31.59,M,1.0,0202*43,43.46215820133334,141.80548862599997,565159.9609507138,4812453.832647834
854,[2021-01-29 11:06:38.498] $GPGGA,20637.1,4327.72949393,N,14148.32931557,E,4,6.0,1.4,110.999,M,31.59,M,1.1,0202*4D,43.462158232166665,141.8054885928333,565159.9582345714,4812453.836046172
855,[2021-01-29 11:06:38.607] $GPGGA,20637.2,4327.72949345,N,14148.32931671,E,4,6.0,1.4,110.99700000000001,M,31.59,M,1.2,0202*4F,43.462158224166664,141.8054886118333,565159.9597801731,4812453.835172573
856,[2021-01-29 11:06:38.701] $GPGGA,20637.3,4327.72949063,N,14148.3293182,E,4,6.0,1.4,110.988,M,31.59,M,1.3,0202*4C,43.462158177166664,141.8054886366667,565159.9618395567,4812453.829972279
