,Format,Time,Latitude,LatType,Longitude,LonType,Status,Satellite,LevelAccuracy,Altitude(sea),M(sea),Altitude(geoid),M(geoid),DGPS use,checksum,Lat,Lon,UTM_X,UTM_Y
1816,[2021-01-29 11:29:47.379] $GPGGA,22946.0,4327.7217135,N,14148.3454604,E,4,9,1.3,107.9313,M,31.83,M,4.0,0000*50,43.46202855833334,141.80575767333335,565181.8648899851,4812439.645289784
1817,[2021-01-29 11:29:47.489] $GPGGA,22946.1,4327.7217132,N,14148.345460499999,E,4,9,1.3,107.9331,M,31.83,M,4.0,0000*57,43.462028553333326,141.805757675,565181.8650301823,4812439.644735799
1818,[2021-01-29 11:29:47.583] $GPGGA,22946.2,4327.7217135,N,14148.345461,E,4,9,1.3,107.9318,M,31.83,M,4.0,0000*5C,43.46202855833334,141.80575768333333,565181.8656989367,4812439.64529761
1819,[2021-01-29 11:29:47.676] $GPGGA,22946.3,4327.7217137,N,14148.345462399999,E,4,9,1.3,107.933,M,31.83,M,4.0,0000*52,43.46202856166667,141.80575770666664,565181.8675829134,4812439.645686066
1820,[2021-01-29 11:29:47.786] $GPGGA,22946.4,4327.721712899999,N,14148.3454622,E,4,9,1.3,107.9361,M,31.83,M,4.0,0000*58,43.46202854833332,141.80575770333334,565181.8673275904,4812439.644202683
1821,[2021-01-29 11:29:47.879] $GPGGA,22946.5,4327.7217128,N,14148.3454604,E,4,9,1.3,107.9363,M,31.83,M,4.0,0000*5E,43.46202854666667,141.80575767333335,565181.8649025197,4812439.64399411
1822,[2021-01-29 11:29:47.973] $GPGGA,22946.6,4327.721713399999,N,14148.3454629,E,4,9,1.3,107.9337,M,31.83,M,4.0,0000*5E,43.46202855666665,141.805757715,565181.868262416,4812439.645137295
1823,[2021-01-29 11:29:48.083] $GPGGA,22946.7,4327.7217135,N,14148.3454611,E,4,9,1.3,107.933,M,31.83,M,4.0,0000*52,43.46202855833334,141.80575768499997,565181.865833762,4812439.645298915
1824,[2021-01-29 11:29:48.192] $GPGGA,22946.8,4327.7217132,N,14148.345461300001,E,4,9,1.3,107.9345,M,31.83,M,4.0,0000*5A,43.462028553333326,141.80575768833336,565181.8661087888,4812439.644746233
1825,[2021-01-29 11:29:48.288] $GPGGA,22946.9,4327.7217124,N,14148.345461200002,E,4,9,1.3,107.936,M,31.83,M,4.0,0000*5A,43.46202853999999,141.8057576866667,565181.8659882909,4812439.643264157
1826,[2021-01-29 11:29:48.381] $GPGGA,22947.0,4327.721712899999,N,14148.345460600001,E,4,9,1.3,107.9333,M,31.83,M,5.0,0000*5D,43.46202854833332,141.80575767666667,565181.8651703796,4812439.644181813
1827,[2021-01-29 11:29:48.475] $GPGGA,22947.1,4327.7217123,N,14148.345459999999,E,4,9,1.3,107.9366,M,31.83,M,5.0,0000*50,43.462028538333335,141.80575766666664,565181.8643721659,4812439.643063409
1828,[2021-01-29 11:29:48.585] $GPGGA,22947.2,4327.7217124,N,14148.345459799999,E,4,9,1.3,107.9372,M,31.83,M,5.0,0000*53,43.46202853999999,141.8057576633333,565181.8641007247,4812439.643245896
