,Format,Time,Latitude,LatType,Longitude,LonType,Status,Satellite,LevelAccuracy,Altitude(sea),M(sea),Altitude(geoid),M(geoid),DGPS use,checksum,Lat,Lon,UTM_X,UTM_Y
414,[2021-01-29 11:50:46.188] $GPGGA,25044.8,4327.73238406,N,14148.35754591,E,4,5.0,10.1,108.913,M,31.59,M,1.8,0000*70,43.46220640100001,141.80595909849998,565197.9681394347,4812459.553781618
415,[2021-01-29 11:50:46.284] $GPGGA,25044.9,4327.73238442,N,14148.35754593,E,4,5.0,10.1,108.911,M,31.59,M,1.9,0000*70,43.462206407,141.80595909883334,565197.9681599549,4812459.554448226
416,[2021-01-29 11:50:46.394] $GPGGA,25045.0,4327.73238546,N,14148.3575424,E,4,5.0,10.1,108.915,M,31.59,M,2.0,0000*7A,43.46220642433333,141.80595903999998,565197.9633819914,4812459.5563271735
417,[2021-01-29 11:50:46.488] $GPGGA,25045.1,4327.73238547,N,14148.35754426,E,4,5.0,10.1,108.92,M,31.59,M,2.1,0000*7B,43.4622064245,141.805959071,565197.965889563,4812459.556369952
418,[2021-01-29 11:50:46.597] $GPGGA,25045.2,4327.73238502,N,14148.35754685,E,4,5.0,10.1,108.91,M,31.59,M,2.2,0000*72,43.462206417,141.80595911416665,565197.9693895982,4812459.555570809
419,[2021-01-29 11:50:46.691] $GPGGA,25045.3,4327.7323842,N,14148.35754635,E,4,5.0,10.1,108.911,M,31.59,M,2.3,0000*79,43.462206403333326,141.80595910583332,565197.9687301591,4812459.554046492
420,[2021-01-29 11:50:46.800] $GPGGA,25045.4,4327.73238355,N,14148.35754696,E,4,5.0,10.1,108.91,M,31.59,M,2.4,0000*74,43.4622063925,141.805959116,565197.9695642369,4812459.552851325
421,[2021-01-29 11:50:46.894] $GPGGA,25045.5,4327.73238632,N,14148.35754473,E,4,5.0,10.1,108.91799999999999,M,31.59,M,2.5,0000*71,43.46220643866666,141.80595907883335,565197.9665080206,4812459.557949404
422,[2021-01-29 11:50:47.003] $GPGGA,25045.6,4327.73238663,N,14148.35754496,E,4,5.0,10.1,108.90899999999999,M,31.59,M,2.6,0000*7E,43.46220644383334,141.80595908266665,565197.9668125621,4812459.558526205
423,[2021-01-29 11:50:47.081] $GPGGA,25045.7,4327.7323841,N,14148.35754847,E,4,5.0,10.1,108.913,M,31.59,M,2.7,0000*73,43.46220640166666,141.80595914116665,565197.9715902472,4812459.553889054
424,[2021-01-29 11:50:47.191] $GPGGA,25045.8,4327.73237583,N,14148.35752365,E,4,5.0,10.1,108.947,M,31.59,M,1.8,0000*78,43.46220626383333,141.8059587275,565197.938274735,4812459.538257754
425,[2021-01-29 11:50:47.284] $GPGGA,25045.9,4327.73237555,N,14148.35752267,E,4,5.0,10.1,108.946,M,31.59,M,1.9,0000*71,43.46220625916666,141.80595871116665,565197.9369584613,4812459.5377266975
426,[2021-01-29 11:50:47.394] $GPGGA,25046.0,4327.73237401,N,14148.35752608,E,4,5.0,10.1,108.95,M,31.59,M,2.0,0000*7B,43.462206233500005,141.80595876799998,565197.9415835873,4812459.534920701
427,[2021-01-29 11:50:47.488] $GPGGA,25046.1,4327.73237644,N,14148.35752173,E,4,5.0,10.1,108.95299999999999,M,31.59,M,2.1,0000*70,43.46220627399999,141.8059586955,565197.9356751639,4812459.539361791
428,[2021-01-29 11:50:47.597] $GPGGA,25046.2,4327.73237484,N,14148.3575263,E,4,5.0,10.1,108.947,M,31.59,M,2.2,0000*7B,43.462206247333334,141.80595877166667,565197.941865337,4812459.536459872
429,[2021-01-29 11:50:47.691] $GPGGA,25046.3,4327.73237457,N,14148.35752649,E,4,5.0,10.1,108.949,M,31.59,M,2.3,0000*75,43.462206242833325,141.80595877483333,565197.9421263407,4812459.535962589
430,[2021-01-29 11:50:47.800] $GPGGA,25046.4,4327.73237457,N,14148.35752553,E,4,5.0,10.1,108.948,M,31.59,M,2.4,0000*7C,43.462206242833325,141.80595875883333,565197.9408320182,4812459.535950065
431,[2021-01-29 11:50:47.894] $GPGGA,25046.5,4327.73237588,N,14148.35752192,E,4,5.0,10.1,108.954,M,31.59,M,2.5,0000*7B,43.46220626466667,141.80595869866664,565197.9359413598,4812459.538327732
432,[2021-01-29 11:50:48.003] $GPGGA,25046.6,4327.73237577,N,14148.35752445,E,4,5.0,10.1,108.945,M,31.59,M,2.6,0000*74,43.46220626283333,141.80595874083335,565197.9393544128,4812459.538157132
433,[2021-01-29 11:50:48.081] $GPGGA,25046.7,4327.73237444,N,14148.35752589,E,4,5.0,10.1,108.96,M,31.59,M,2.7,0000*73,43.46220624066667,141.80595876483335,565197.9413197199,4812459.5357141355
434,[2021-01-29 11:50:48.191] $GPGGA,25046.8,4327.73237992,N,14148.3575328,E,4,5.0,10.1,108.927,M,31.59,M,1.8,0000*7A,43.46220633200001,141.80595888,565197.9505379918,4812459.545947579
435,[2021-01-29 11:50:48.287] $GPGGA,25046.9,4327.73237907,N,14148.35753282,E,4,5.0,10.1,108.931,M,31.59,M,1.9,0000*73,43.462206317833335,141.80595888033335,565197.9505801827,4812459.54437452
436,[2021-01-29 11:50:48.396] $GPGGA,25047.0,4327.73237833,N,14148.35753332,E,4,5.0,10.1,108.93700000000001,M,31.59,M,2.0,0000*7B,43.4622063055,141.80595888866668,565197.9512675635,4812459.543011326
437,[2021-01-29 11:50:48.490] $GPGGA,25047.1,4327.7323792,N,14148.35753305,E,4,5.0,10.1,108.925,M,31.59,M,2.1,0000*7F,43.46220631999999,141.80595888416667,565197.9508879522,4812459.544618145
438,[2021-01-29 11:50:48.599] $GPGGA,25047.2,4327.73238068,N,14148.35752862,E,4,5.0,10.1,108.939,M,31.59,M,2.2,0000*73,43.46220634466666,141.80595881033332,565197.9448886818,4812459.547299776
439,[2021-01-29 11:50:48.693] $GPGGA,25047.3,4327.73237797,N,14148.35753434,E,4,5.0,10.1,108.93299999999999,M,31.59,M,2.3,0000*7F,43.4622062995,141.8059589056667,565197.9526492308,4812459.5423582895
440,[2021-01-29 11:50:48.802] $GPGGA,25047.4,4327.73238012,N,14148.35753198,E,4,5.0,10.1,108.931,M,31.59,M,2.4,0000*7B,43.46220633533333,141.80595886633333,565197.9494288423,4812459.546307073
441,[2021-01-29 11:50:48.881] $GPGGA,25047.5,4327.7323786,N,14148.35753354,E,4,5.0,10.1,108.93700000000001,M,31.59,M,2.5,0000*7D,43.46220630999999,141.8059588923333,565197.9515593414,4812459.543513958
442,[2021-01-29 11:50:48.990] $GPGGA,25047.6,4327.7323796,N,14148.3575324,E,4,5.0,10.1,108.936,M,31.59,M,2.6,0000*79,43.46220632666666,141.8059588733333,565197.9500044219,4812459.545350051
443,[2021-01-29 11:50:49.084] $GPGGA,25047.7,4327.73237814,N,14148.35753531,E,4,5.0,10.1,108.926,M,31.59,M,2.7,0000*7B,43.462206302333335,141.80595892183334,565197.9539539906,4812459.542685609
444,[2021-01-29 11:50:49.193] $GPGGA,25047.8,4327.73238394,N,14148.35754292,E,4,5.0,10.1,108.916,M,31.59,M,1.8,0000*7E,43.462206398999996,141.80595904866664,565197.9641103072,4812459.553520491
445,[2021-01-29 11:50:49.288] $GPGGA,25047.9,4327.73238205,N,14148.35754295,E,4,5.0,10.1,108.911,M,31.59,M,1.9,0000*77,43.46220636749999,141.8059590491667,565197.964184612,4812459.550022557
446,[2021-01-29 11:50:49.397] $GPGGA,25048.0,4327.73238257,N,14148.35754315,E,4,5.0,10.1,108.916,M,31.59,M,2.0,0000*72,43.462206376166655,141.8059590525,565197.9644449458,4812459.550987669
447,[2021-01-29 11:50:49.491] $GPGGA,25048.1,4327.73238288,N,14148.35754239,E,4,5.0,10.1,108.915,M,31.59,M,2.1,0000*7C,43.46220638133333,141.8059590398333,565197.9634147184,4812459.551551553
448,[2021-01-29 11:50:49.600] $GPGGA,25048.2,4327.73238459,N,14148.35754221,E,4,5.0,10.1,108.912,M,31.59,M,2.2,0000*78,43.462206409833335,141.80595903683331,565197.9631414065,4812459.554714355
449,[2021-01-29 11:50:49.694] $GPGGA,25048.3,4327.73238197,N,14148.35754485,E,4,5.0,10.1,108.916,M,31.59,M,2.3,0000*73,43.462206366166654,141.80595908083333,565197.9667477219,4812459.549899269
450,[2021-01-29 11:50:49.788] $GPGGA,25048.4,4327.7323841,N,14148.35754142,E,4,5.0,10.1,108.917,M,31.59,M,2.4,0000*76,43.46220640166666,141.80595902366667,565197.9620850639,4812459.5537970755
451,[2021-01-29 11:50:49.881] $GPGGA,25048.5,4327.7323814,N,14148.357548,E,4,5.0,10.1,108.912,M,31.59,M,2.5,0000*7C,43.46220635666666,141.80595913333335,565197.9710049296,4812459.5488853175
452,[2021-01-29 11:50:49.991] $GPGGA,25048.6,4327.73238148,N,14148.3575442,E,4,5.0,10.1,108.917,M,31.59,M,2.6,0000*7F,43.462206357999996,141.80595906999997,565197.9658801325,4812459.548983817
453,[2021-01-29 11:50:50.085] $GPGGA,25048.7,4327.73238352,N,14148.35754139,E,4,5.0,10.1,108.919,M,31.59,M,2.7,0000*75,43.46220639200001,141.80595902316665,565197.9620550042,4812459.5527231265
454,[2021-01-29 11:50:50.194] $GPGGA,25048.8,4327.73237933,N,14148.35753721,E,4,5.0,10.1,108.93,M,31.59,M,1.8,0000*77,43.462206322166665,141.8059589535,565197.9564943572,4812459.544913045
455,[2021-01-29 11:50:50.289] $GPGGA,25048.9,4327.73237926,N,14148.35753452,E,4,5.0,10.1,108.935,M,31.59,M,1.9,0000*71,43.462206321000004,141.80595890866667,565197.9528688088,4812459.544748383
456,[2021-01-29 11:50:50.399] $GPGGA,25049.0,4327.73238031,N,14148.35753585,E,4,5.0,10.1,108.932,M,31.59,M,2.0,0000*7F,43.462206338499996,141.80595893083333,565197.9546431778,4812459.546709248
457,[2021-01-29 11:50:50.492] $GPGGA,25049.1,4327.73238181,N,14148.35753806,E,4,5.0,10.1,108.93299999999999,M,31.59,M,2.1,0000*72,43.4622063635,141.80595896766667,565197.9575959507,4812459.549514529
458,[2021-01-29 11:50:50.602] $GPGGA,25049.2,4327.73237965,N,14148.35753511,E,4,5.0,10.1,108.934,M,31.59,M,2.2,0000*73,43.46220632750001,141.8059589185,565197.9536572947,4812459.5454779565
459,[2021-01-29 11:50:50.696] $GPGGA,25049.3,4327.73238077,N,14148.35753652,E,4,5.0,10.1,108.93299999999999,M,31.59,M,2.3,0000*75,43.46220634616668,141.80595894199996,565197.9555382666,4812459.547569434
460,[2021-01-29 11:50:50.789] $GPGGA,25049.4,4327.73238046,N,14148.35753527,E,4,5.0,10.1,108.93,M,31.59,M,2.4,0000*75,43.462206341000005,141.80595892116668,565197.9538585059,4812459.546979326
461,[2021-01-29 11:50:50.883] $GPGGA,25049.5,4327.73238196,N,14148.35753384,E,4,5.0,10.1,108.934,M,31.59,M,2.5,0000*72,43.462206366,141.80595889733337,565197.9519036403,4812459.549737115
462,[2021-01-29 11:50:50.992] $GPGGA,25049.6,4327.7323803,N,14148.35753554,E,4,5.0,10.1,108.932,M,31.59,M,2.6,0000*72,43.46220633833334,141.8059589256667,565197.9542254002,4812459.546686694
463,[2021-01-29 11:50:51.086] $GPGGA,25049.7,4327.73237934,N,14148.3575366,E,4,5.0,10.1,108.928,M,31.59,M,2.7,0000*7F,43.46220632233334,141.80595894333334,565197.9556717426,4812459.544923596
464,[2021-01-29 11:50:51.196] $GPGGA,25049.8,4327.73237932,N,14148.35752958,E,4,5.0,10.1,108.94200000000001,M,31.59,M,1.8,0000*73,43.46220632200001,141.80595882633332,565197.9462073637,4812459.54479499
