,Format,Time,Latitude,LatType,Longitude,LonType,Status,Satellite,LevelAccuracy,Altitude(sea),M(sea),Altitude(geoid),M(geoid),DGPS use,checksum,Lat,Lon,UTM_X,UTM_Y
1119,[2021-01-29 10:51:10.564] $GNGGA,15109.0,4327.758509,N,14148.31169,E,4,11,1.02,113.465,M,31.868000000000002,M,7.0,1010*6B,43.46264181666667,141.80519483333333,565135.6752809954,4812507.312154643
1120,[2021-01-29 10:51:10.658] $GNGGA,15109.1,4327.758509,N,14148.31169,E,4,11,1.02,113.465,M,31.868000000000002,M,2.1,1010*62,43.46264181666667,141.80519483333333,565135.6752809954,4812507.312154643
1121,[2021-01-29 10:51:10.767] $GNGGA,15109.2,4327.758509,N,14148.31169,E,4,11,1.02,113.46799999999999,M,31.868000000000002,M,2.2,1010*64,43.46264181666667,141.80519483333333,565135.6752809954,4812507.312154643
1122,[2021-01-29 10:51:10.861] $GNGGA,15109.3,4327.758509,N,14148.31169,E,4,11,1.02,113.473,M,31.868000000000002,M,2.3,1010*68,43.46264181666667,141.80519483333333,565135.6752809954,4812507.312154643
1123,[2021-01-29 10:51:10.970] $GNGGA,15109.4,4327.758510000001,N,14148.31169,E,4,11,1.02,113.473,M,31.868000000000002,M,2.4,1010*6E,43.462641833333336,141.80519483333333,565135.6752631009,4812507.31400561
1124,[2021-01-29 10:51:11.064] $GNGGA,15109.5,4327.758508,N,14148.31169,E,4,11,1.02,113.48299999999999,M,31.868000000000002,M,2.5,1010*68,43.4626418,141.80519483333333,565135.6752988899,4812507.310303678
1125,[2021-01-29 10:51:11.158] $GNGGA,15109.6,4327.758508,N,14148.31169,E,4,11,1.02,113.486,M,31.868000000000002,M,2.6,1010*69,43.4626418,141.80519483333333,565135.6752988899,4812507.310303678
1126,[2021-01-29 10:51:11.269] $GNGGA,15109.7,4327.758509,N,14148.31169,E,4,11,1.02,113.48700000000001,M,31.868000000000002,M,2.7,1010*6F,43.46264181666667,141.80519483333333,565135.6752809954,4812507.312154643
1127,[2021-01-29 10:51:11.363] $GNGGA,15109.8,4327.758509,N,14148.31169,E,4,11,1.02,113.486,M,31.868000000000002,M,2.8,1010*6B,43.46264181666667,141.80519483333333,565135.6752809954,4812507.312154643
1128,[2021-01-29 10:51:11.472] $GNGGA,15109.9,4327.758510000001,N,14148.31169,E,4,11,1.02,113.485,M,31.868000000000002,M,2.9,1010*63,43.462641833333336,141.80519483333333,565135.6752631009,4812507.31400561
1129,[2021-01-29 10:51:11.566] $GNGGA,15110.0,4327.758509,N,14148.31169,E,4,11,1.02,113.48,M,31.868000000000002,M,3.0,1010*61,43.46264181666667,141.80519483333333,565135.6752809954,4812507.312154643
