,Format,Time,Latitude,LatType,Longitude,LonType,Status,Satellite,LevelAccuracy,Altitude(sea),M(sea),Altitude(geoid),M(geoid),DGPS use,checksum,Lat,Lon,UTM_X,UTM_Y
1088,[2021-02-22 16:50:56.326] $GPGGA,75055.9,3713.9611229999996,N,13701.56708,E,4,13,1.0,92.4394,M,37.55,M,3.0,0000*68,37.23268538333332,137.02611800000003,679735.316657422,4122608.7051356127
1089,[2021-02-22 16:50:56.420] $GPGGA,75056.0,3713.9611229999996,N,13701.56708,E,4,13,1.0,92.4395,M,37.55,M,4.0,0000*61,37.23268538333332,137.02611800000003,679735.316657422,4122608.7051356127
1090,[2021-02-22 16:50:56.498] $GPGGA,75056.1,3713.9611240000004,N,13701.56708,E,4,13,1.0,92.4424,M,37.55,M,4.0,0000*66,37.2326854,137.02611800000003,679735.3166178379,4122608.706984888
1091,[2021-02-22 16:50:56.607] $GPGGA,75056.2,3713.9611240000004,N,13701.56708,E,4,13,1.0,92.441,M,37.55,M,4.0,0000*61,37.2326854,137.02611800000003,679735.3166178379,4122608.706984888
1092,[2021-02-22 16:50:56.717] $GPGGA,75056.3,3713.9611240000004,N,13701.56708,E,4,13,1.0,92.4409,M,37.55,M,4.0,0000*67,37.2326854,137.02611800000003,679735.3166178379,4122608.706984888
1093,[2021-02-22 16:50:56.810] $GPGGA,75056.4,3713.9611240000004,N,13701.56708,E,4,13,1.0,92.4413,M,37.55,M,4.0,0000*64,37.2326854,137.02611800000003,679735.3166178379,4122608.706984888
1094,[2021-02-22 16:50:56.920] $GPGGA,75056.5,3713.9611229999996,N,13701.56708,E,4,13,1.0,92.4415,M,37.55,M,4.0,0000*67,37.23268538333332,137.02611800000003,679735.316657422,4122608.7051356127
1095,[2021-02-22 16:50:56.998] $GPGGA,75056.6,3713.9611240000004,N,13701.56708,E,4,13,1.0,92.4407,M,37.55,M,4.0,0000*67,37.2326854,137.02611800000003,679735.3166178379,4122608.706984888
1096,[2021-02-22 16:50:57.123] $GPGGA,75056.7,3713.9611229999996,N,13701.56708,E,4,13,1.0,92.4395,M,37.55,M,4.0,0000*6D,37.23268538333332,137.02611800000003,679735.316657422,4122608.7051356127
1097,[2021-02-22 16:50:57.201] $GPGGA,75056.8,3713.9611229999996,N,13701.56708,E,4,13,1.0,92.4382,M,37.55,M,4.0,0000*67,37.23268538333332,137.02611800000003,679735.316657422,4122608.7051356127
1098,[2021-02-22 16:50:57.326] $GPGGA,75056.9,3713.9611229999996,N,13701.56708,E,4,13,1.0,92.4386,M,37.55,M,4.0,0000*60,37.23268538333332,137.02611800000003,679735.316657422,4122608.7051356127
1099,[2021-02-22 16:50:57.404] $GPGGA,75057.0,3713.9611229999996,N,13701.56708,E,4,13,1.0,92.4376,M,37.55,M,5.0,0000*65,37.23268538333332,137.02611800000003,679735.316657422,4122608.7051356127
1100,[2021-02-22 16:50:57.498] $GPGGA,75057.1,3713.9611229999996,N,13701.56708,E,4,13,1.0,92.4375,M,37.55,M,5.0,0000*69,37.23268538333332,137.02611800000003,679735.316657422,4122608.7051356127
