,Format,Time,Latitude,LatType,Longitude,LonType,Status,Satellite,LevelAccuracy,Altitude(sea),M(sea),Altitude(geoid),M(geoid),DGPS use,checksum,Lat,Lon,UTM_X,UTM_Y
756,[2021-02-22 16:49:44.675] $GPGGA,74944.3,3713.96134778,N,13701.56642404,E,4,7.0,1.3,93.205,M,36.771,M,2.3,0000*73,37.23268912966666,137.02610706733336,679734.3378223674,4122609.1000535395
758,[2021-02-22 16:49:44.784] $GPGGA,74944.4,3713.96134831,N,13701.56642062,E,4,7.0,1.3,93.209,M,36.771,M,2.4,0000*79,37.2326891385,137.02610701033333,679734.3327443924,4122609.100925409
760,[2021-02-22 16:49:44.878] $GPGGA,74944.5,3713.96134897,N,13701.56642621,E,4,7.0,1.3,93.210,M,36.771,M,2.5,0000*7C,37.2326891495,137.02610710349998,679734.3409839362,4122609.102322855
762,[2021-02-22 16:49:44.987] $GPGGA,74944.6,3713.96135112,N,13701.56642685,E,4,7.0,1.3,93.203,M,36.771,M,2.6,0000*75,37.23268918533333,137.0261071141667,679734.3418451736,4122609.1063190484
764,[2021-02-22 16:49:45.081] $GPGGA,74944.7,3713.96134996,N,13701.56643173,E,4,7.0,1.3,93.193,M,36.771,M,2.7,0000*75,37.23268916600001,137.0261071955,679734.3491069152,4122609.1043283483
766,[2021-02-22 16:49:45.190] $GPGGA,74944.8,3713.96134997,N,13701.56642624,E,4,7.0,1.3,93.206,M,36.771,M,2.8,0000*7F,37.232689166166665,137.026107104,679734.3409887152,4122609.1041730773
768,[2021-02-22 16:49:45.284] $GPGGA,74944.9,3713.96134842,N,13701.56642727,E,4,7.0,1.3,93.202,M,36.771,M,2.9,0000*70,37.23268914033333,137.0261071211667,679734.3425730835,4122609.1013393053
770,[2021-02-22 16:49:45.393] $GPGGA,74945.0,3713.96135051,N,13701.56643214,E,4,7.0,1.3,93.204,M,36.771,M,3.0,0000*79,37.23268917516667,137.02610720233335,679734.3496913943,4122609.1053584255
772,[2021-02-22 16:49:45.472] $GPGGA,74945.1,3713.96134939,N,13701.56642994,E,4,7.0,1.3,93.213,M,36.771,M,3.1,0000*7B,37.2326891565,137.02610716566664,679734.3464826874,4122609.103217607
774,[2021-02-22 16:49:45.581] $GPGGA,74945.2,3713.96134949,N,13701.56643249,E,4,8.0,1.3,93.207,M,36.771,M,2.2,0000*7D,37.232689158166664,137.02610720816668,679734.3502492966,4122609.103483243
776,[2021-02-22 16:49:45.675] $GPGGA,74945.3,3713.96134549,N,13701.5664312,E,4,8.0,1.3,93.214,M,36.771,M,2.3,0000*7F,37.2326890915,137.02610718666668,679734.3485001699,4122609.0960453236
778,[2021-02-22 16:49:45.784] $GPGGA,74945.4,3713.9613475,N,13701.56643375,E,4,8.0,1.3,93.218,M,36.771,M,2.4,0000*7B,37.23268912500001,137.02610722916666,679734.3521911697,4122609.0998430713
780,[2021-02-22 16:49:45.878] $GPGGA,74945.5,3713.96134753,N,13701.56642986,E,4,8.0,1.3,93.209,M,36.771,M,2.5,0000*7F,37.232689125499995,137.02610716433333,679734.3464380227,4122609.0997754275
