,Format,Time,Latitude,LatType,Longitude,LonType,Status,Satellite,LevelAccuracy,Altitude(sea),M(sea),Altitude(geoid),M(geoid),DGPS use,checksum,Lat,Lon,UTM_X,UTM_Y
548,[2021-02-22 14:52:37.534] $GNGGA,55237.1,3713.93654034,N,13701.49006371,E,4,10.0,1.2,94.565,M,36.771,M,1.1,0979*62,37.23227567233333,137.02483439516666,679622.4087356509,4122560.808248907
549,[2021-02-22 14:52:37.628] $GNGGA,55237.2,3713.93653877,N,13701.49006181,E,4,10.0,1.2,94.56700000000001,M,36.771,M,1.2,0979*65,37.23227564616666,137.0248343635,679622.4059883014,4122560.80528545
550,[2021-02-22 14:52:37.722] $GNGGA,55237.3,3713.93654113,N,13701.49006177,E,4,10.0,1.2,94.56700000000001,M,36.771,M,1.3,0979*60,37.2322756855,137.02483436283333,679622.4058357967,4122560.8096484686
551,[2021-02-22 14:52:37.831] $GNGGA,55237.4,3713.93654019,N,13701.49006362,E,4,10.0,1.2,94.572,M,36.771,M,1.4,0979*69,37.232275669833335,137.02483439366665,679622.4086085028,4122560.8079686686
552,[2021-02-22 14:52:37.925] $GNGGA,55237.5,3713.93653925,N,13701.49006363,E,4,10.0,1.2,94.569,M,36.771,M,1.5,0979*63,37.23227565416666,137.02483439383334,679622.4086604785,4122560.8062306703
553,[2021-02-22 14:52:38.034] $GNGGA,55237.6,3713.93654082,N,13701.49006176,E,4,10.0,1.2,94.568,M,36.771,M,1.6,0979*67,37.23227568033333,137.02483436266667,679622.4058332737,4122560.809074878
554,[2021-02-22 14:52:38.128] $GNGGA,55237.7,3713.93654118,N,13701.49006446,E,4,10.0,1.2,94.561,M,36.771,M,1.7,0979*6A,37.23227568633333,137.02483440766667,679622.4098114186,4122560.8098260188
555,[2021-02-22 14:52:38.237] $GNGGA,55237.8,3713.93653977,N,13701.49006328,E,4,10.0,1.2,94.571,M,36.771,M,1.8,0979*62,37.23227566283333,137.024834388,679622.4081223739,4122560.807181221
556,[2021-02-22 14:52:38.331] $GNGGA,55237.9,3713.9365398,N,13701.49006154,E,4,10.0,1.2,94.572,M,36.771,M,1.9,0979*60,37.23227566333334,137.02483435899998,679622.4055483153,4122560.807181663
557,[2021-02-22 14:52:38.440] $GNGGA,55238.0,3713.93653968,N,13701.49006209,E,4,10.0,1.2,94.56700000000001,M,36.771,M,2.0,0979*65,37.23227566133334,137.02483436816667,679622.4063663279,4122560.8069771463
558,[2021-02-22 14:52:38.518] $GNGGA,55238.1,3713.93653919,N,13701.49006407,E,4,10.0,1.2,94.564,M,36.771,M,2.1,0979*68,37.23227565316667,137.0248344011667,679622.4093134613,4122560.806133631
559,[2021-02-22 14:52:38.628] $GNGGA,55238.2,3713.93654271,N,13701.49006606,E,4,10.0,1.2,94.571,M,36.771,M,2.2,0979*6D,37.23227571183334,137.02483443433334,679622.4121167513,4122560.812706014
560,[2021-02-22 14:52:38.737] $GNGGA,55238.3,3713.93654127,N,13701.49006667,E,4,10.0,1.2,94.56299999999999,M,36.771,M,1.3,0979*6A,37.23227568783334,137.0248344445,679622.4130756954,4122560.810062357
561,[2021-02-22 14:52:38.831] $GNGGA,55238.4,3713.9365403,N,13701.49006419,E,4,10.0,1.2,94.56200000000001,M,36.771,M,1.4,0979*67,37.23227567166666,137.02483440316666,679622.4094469893,4122560.8081901185
562,[2021-02-22 14:52:38.925] $GNGGA,55238.5,3713.93654214,N,13701.49006584,E,4,10.0,1.2,94.565,M,36.771,M,1.5,0979*61,37.23227570233333,137.02483443066666,679622.4118139916,4122560.8116449704
563,[2021-02-22 14:52:39.034] $GNGGA,55238.6,3713.93653993,N,13701.49006432,E,4,10.0,1.2,94.571,M,36.771,M,1.6,0979*6B,37.2322756655,137.02483440533334,679622.4096538521,4122560.8075099997
564,[2021-02-22 14:52:39.128] $GNGGA,55238.7,3713.93654145,N,13701.49006298,E,4,10.0,1.2,94.56700000000001,M,36.771,M,1.7,0979*6E,37.23227569083333,137.02483438299998,679622.4076123163,4122560.8102785093
565,[2021-02-22 14:52:39.237] $GNGGA,55238.8,3713.9365421,N,13701.49006428,E,4,10.0,1.2,94.565,M,36.771,M,1.8,0979*62,37.232275701666666,137.02483440466668,679622.4095088657,4122560.811521656
566,[2021-02-22 14:52:39.331] $GNGGA,55238.9,3713.93654011,N,13701.4900647,E,4,10.0,1.2,94.559,M,36.771,M,1.9,0979*63,37.2322756685,137.02483441166666,679622.410208622,4122560.807854888
567,[2021-02-22 14:52:39.440] $GNGGA,55239.0,3713.93654192,N,13701.49006192,E,4,10.0,1.2,94.561,M,36.771,M,2.0,0979*69,37.23227569866666,137.02483436533333,679622.406026344,4122560.811114138
568,[2021-02-22 14:52:39.534] $GNGGA,55239.1,3713.9365386,N,13701.49006336,E,4,10.0,1.2,94.569,M,36.771,M,1.1,0979*6D,37.23227564333334,137.0248343893333,679622.4082869483,4122560.8050201037
569,[2021-02-22 14:52:39.628] $GNGGA,55239.2,3713.93654044,N,13701.49006184,E,4,10.0,1.2,94.565,M,36.771,M,1.2,0979*63,37.23227567400001,137.02483436400004,679622.4059666016,4122560.8083746857
570,[2021-02-22 14:52:39.737] $GNGGA,55239.3,3713.93654185,N,13701.4900629,E,4,10.0,1.2,94.57,M,36.771,M,1.3,0979*6D,37.2322756975,137.0248343816667,679622.407478204,4122560.8110156865
571,[2021-02-22 14:52:39.831] $GNGGA,55239.4,3713.93653934,N,13701.49006332,E,4,10.0,1.2,94.566,M,36.771,M,1.4,0979*66,37.23227565566666,137.02483438866668,679622.4081985329,4122560.8063872983
572,[2021-02-22 14:52:39.925] $GNGGA,55239.5,3713.93653873,N,13701.49006348,E,4,10.0,1.2,94.555,M,36.771,M,1.5,0979*69,37.232275645499996,137.02483439133334,679622.4084592483,4122560.8052643044
573,[2021-02-22 14:52:40.034] $GNGGA,55239.6,3713.93653866,N,13701.49006541,E,4,10.0,1.2,94.568,M,36.771,M,1.6,0979*6C,37.23227564433334,137.02483442349998,679622.4113158319,4122560.8051959025
574,[2021-02-22 14:52:40.128] $GNGGA,55239.7,3713.93654041,N,13701.49006521,E,4,10.0,1.2,94.568,M,36.771,M,1.7,0979*60,37.2322756735,137.02483442016668,679622.4109508755,4122560.808425802
575,[2021-02-22 14:52:40.237] $GNGGA,55239.8,3713.93653824,N,13701.49006413,E,4,10.0,1.2,94.56700000000001,M,36.771,M,1.8,0979*63,37.23227563733334,137.02483440216665,679622.4094397586,4122560.804378721
576,[2021-02-22 14:52:40.315] $GNGGA,55239.9,3713.93653818,N,13701.49006423,E,4,10.0,1.2,94.561,M,36.771,M,1.9,0979*69,37.23227563633333,137.02483440383335,679622.4095900021,4122560.8042709264
577,[2021-02-22 14:52:40.424] $GNGGA,55240.0,3713.93653842,N,13701.49006338,E,4,10.0,1.2,94.573,M,36.771,M,2.0,0979*65,37.23227564033333,137.0248343896667,679622.4083236479,4122560.804687865
578,[2021-02-22 14:52:40.518] $GNGGA,55240.1,3713.93653875,N,13701.49006582,E,4,10.0,1.2,94.565,M,36.771,M,2.1,0979*61,37.23227564583333,137.02483443033333,679622.4119185226,4122560.805375305
579,[2021-02-22 14:52:40.628] $GNGGA,55240.2,3713.9365393,N,13701.49006627,E,4,10.0,1.2,94.56299999999999,M,36.771,M,1.2,0979*68,37.232275654999995,137.02483443783333,679622.4125621631,4122560.806406638
580,[2021-02-22 14:52:40.721] $GNGGA,55240.3,3713.93653978,N,13701.49006606,E,4,10.0,1.2,94.573,M,36.771,M,1.3,0979*66,37.232275662999996,137.02483443433334,679622.4122326577,4122560.8072876465
581,[2021-02-22 14:52:40.831] $GNGGA,55240.4,3713.93653973,N,13701.49006566,E,4,10.0,1.2,94.561,M,36.771,M,1.4,0979*6B,37.232275662166664,137.02483442766666,679622.4116431708,4122560.807182531
582,[2021-02-22 14:52:40.924] $GNGGA,55240.5,3713.93654049,N,13701.49006812,E,4,10.0,1.2,94.556,M,36.771,M,1.5,0979*66,37.23227567483333,137.02483446866668,679622.4152506142,4122560.8086657887
583,[2021-02-22 14:52:41.034] $GNGGA,55240.6,3713.93654238,N,13701.49006519,E,4,10.0,1.2,94.559,M,36.771,M,1.6,0979*6B,37.23227570633333,137.02483441983335,679622.4108433708,4122560.8120682356
584,[2021-02-22 14:52:41.128] $GNGGA,55240.7,3713.93653871,N,13701.49006655,E,4,10.0,1.2,94.55799999999999,M,36.771,M,1.7,0979*61,37.232275645166666,137.02483444250004,679622.4129995318,4122560.805324424
585,[2021-02-22 14:52:41.237] $GNGGA,55240.8,3713.93654184,N,13701.49006571,E,4,10.0,1.2,94.564,M,36.771,M,1.8,0979*6F,37.23227569733333,137.02483442850001,679622.411633635,4122560.8110860754
586,[2021-02-22 14:52:41.315] $GNGGA,55240.9,3713.93653843,N,13701.49006451,E,4,10.0,1.2,94.568,M,36.771,M,1.9,0979*65,37.2322756405,137.0248344085,679622.409994135,4122560.8047421016
587,[2021-02-22 14:52:41.440] $GNGGA,55241.0,3713.93653922,N,13701.49006335,E,4,10.0,1.2,94.555,M,36.771,M,1.0,0979*69,37.232275653666676,137.02483438916664,679622.408247636,4122560.8061663355
588,[2021-02-22 14:52:41.518] $GNGGA,55241.1,3713.93654063,N,13701.49006588,E,4,10.0,1.2,94.554,M,36.771,M,1.1,0979*63,37.23227567716667,137.02483443133335,679622.4119328738,4122560.808853835
589,[2021-02-22 14:52:41.628] $GNGGA,55241.2,3713.93653835,N,13701.49006373,E,4,10.0,1.2,94.559,M,36.771,M,1.2,0979*60,37.232275639166666,137.0248343955,679622.4088439445,4122560.804569488
590,[2021-02-22 14:52:41.721] $GNGGA,55241.3,3713.93654184,N,13701.49006737,E,4,10.0,1.2,94.544,M,36.771,M,1.3,0979*6C,37.23227569733333,137.02483445616667,679622.4140882134,4122560.811138584
591,[2021-02-22 14:52:41.831] $GNGGA,55241.4,3713.93653947,N,13701.49006535,E,4,10.0,1.2,94.552,M,36.771,M,1.4,0979*6B,37.232275657833334,137.02483442250002,679622.4111950728,4122560.8066919143
