,Format,Time,Latitude,LatType,Longitude,LonType,Status,Satellite,LevelAccuracy,Altitude(sea),M(sea),Altitude(geoid),M(geoid),DGPS use,checksum,Lat,Lon,UTM_X,UTM_Y
1212,[2021-02-22 15:03:15.051] $GPGGA,60314.6,3713.9064372000003,N,13701.4601134,E,4,15,0.8,90.7761,M,37.55,M,2.0,0000*61,37.23177395333333,137.02433522333334,679579.3129160908,4122504.192124743
1213,[2021-02-22 15:03:15.161] $GPGGA,60314.7,3713.9064376999995,N,13701.460113799998,E,4,15,0.8,90.7779,M,37.55,M,2.0,0000*60,37.23177396166666,137.02433523,679579.3134877833,4122504.1930620265
1214,[2021-02-22 15:03:15.239] $GPGGA,60314.8,3713.9064375,N,13701.460113299998,E,4,15,0.8,90.7788,M,37.55,M,2.0,0000*68,37.23177395833333,137.02433522166663,679579.3127563553,4122504.192676362
1215,[2021-02-22 15:03:15.348] $GPGGA,60314.9,3713.9064366,N,13701.4601129,E,4,15,0.8,90.779,M,37.55,M,2.0,0000*69,37.23177394333333,137.024335215,679579.3122004844,4122504.190999369
1216,[2021-02-22 15:03:15.457] $GPGGA,60315.0,3713.9064371,N,13701.460111200002,E,4,15,0.8,90.7779,M,37.55,M,3.0,0000*69,37.23177395166666,137.0243351866667,679579.3096669712,4122504.1918702447
1217,[2021-02-22 15:03:15.536] $GPGGA,60315.1,3713.9064371,N,13701.4601115,E,4,15,0.8,90.7802,M,37.55,M,3.0,0000*6C,37.23177395166666,137.02433519166667,679579.310110571,4122504.1918797316
1218,[2021-02-22 15:03:15.661] $GPGGA,60315.2,3713.9064373000006,N,13701.4601116,E,4,15,0.8,90.782,M,37.55,M,3.0,0000*6E,37.23177395500001,137.02433519333331,679579.3102505256,4122504.1922527505
1219,[2021-02-22 15:03:15.739] $GPGGA,60315.3,3713.9064361999995,N,13701.4601115,E,4,15,0.8,90.783,M,37.55,M,3.0,0000*6D,37.231773936666656,137.02433519166667,679579.3101461644,4122504.190215386
1220,[2021-02-22 15:03:15.864] $GPGGA,60315.4,3713.9064346999994,N,13701.460112,E,4,15,0.8,90.7836,M,37.55,M,3.0,0000*6D,37.23177391166666,137.02433520000002,679579.3109448245,4122504.187457289
1221,[2021-02-22 15:03:15.942] $GPGGA,60315.5,3713.9064349,N,13701.4601115,E,4,15,0.8,90.7841,M,37.55,M,3.0,0000*64,37.231773915000005,137.02433519166667,679579.3101975772,4122504.1878113355
1222,[2021-02-22 15:03:16.051] $GPGGA,60315.6,3713.9064354,N,13701.4601125,E,4,15,0.8,90.7834,M,37.55,M,3.0,0000*6A,37.23177392333333,137.02433520833335,679579.3116564737,4122504.188767593
1223,[2021-02-22 15:03:16.129] $GPGGA,60315.7,3713.9064361,N,13701.460113699999,E,4,15,0.8,90.7825,M,37.55,M,3.0,0000*6E,37.23177393500001,137.02433522833334,679579.3134031937,4122504.1901000314
1224,[2021-02-22 15:03:16.254] $GPGGA,60315.8,3713.9064364,N,13701.460113999998,E,4,15,0.8,90.7819,M,37.55,M,3.0,0000*6B,37.23177394,137.0243352333333,679579.3138349269,4122504.190664299
1225,[2021-02-22 15:03:16.332] $GPGGA,60315.9,3713.9064366,N,13701.460113799998,E,4,15,0.8,90.7812,M,37.55,M,3.0,0000*6C,37.23177394333333,137.02433523,679579.3135312863,4122504.191027829
1226,[2021-02-22 15:03:16.457] $GPGGA,60316.0,3713.9064361,N,13701.4601127,E,4,15,0.8,90.7788,M,37.55,M,4.0,0000*64,37.23177393500001,137.02433521166665,679579.3119245208,4122504.190068409
1227,[2021-02-22 15:03:16.551] $GPGGA,60316.1,3713.9064350000003,N,13701.460112600002,E,4,15,0.8,90.7783,M,37.55,M,4.0,0000*6D,37.231773916666675,137.02433521,679579.3118201595,4122504.188031049
1228,[2021-02-22 15:03:16.660] $GPGGA,60316.2,3713.9064354,N,13701.4601125,E,4,15,0.8,90.7772,M,37.55,M,4.0,0000*67,37.23177392333333,137.02433520833335,679579.3116564737,4122504.188767593
1229,[2021-02-22 15:03:16.739] $GPGGA,60316.3,3713.9064359,N,13701.4601135,E,4,15,0.8,90.7787,M,37.55,M,4.0,0000*60,37.23177393166667,137.024335225,679579.3131153679,4122504.189723852
1230,[2021-02-22 15:03:16.848] $GPGGA,60316.4,3713.9064365000004,N,13701.4601132,E,4,15,0.8,90.7796,M,37.55,M,4.0,0000*6F,37.231773941666674,137.02433521999998,679579.3126480368,4122504.190823928
1231,[2021-02-22 15:03:16.942] $GPGGA,60316.5,3713.9064354,N,13701.4601134,E,4,15,0.8,90.781,M,37.55,M,4.0,0000*6B,37.23177392333333,137.02433522333334,679579.3129872777,4122504.1887960536
1232,[2021-02-22 15:03:17.051] $GPGGA,60316.6,3713.9064348000006,N,13701.4601136,E,4,15,0.8,90.7814,M,37.55,M,4.0,0000*63,37.23177391333334,137.0243352266667,679579.3133067421,4122504.187692817
1233,[2021-02-22 15:03:17.129] $GPGGA,60316.7,3713.9064342,N,13701.4601132,E,4,15,0.8,90.7812,M,37.55,M,4.0,0000*6A,37.23177390333334,137.02433521999998,679579.3127389979,4122504.1865706034
1234,[2021-02-22 15:03:17.254] $GPGGA,60316.8,3713.9064339,N,13701.4601132,E,4,15,0.8,90.7817,M,37.55,M,4.0,0000*6C,37.23177389833334,137.02433521999998,679579.3127508624,4122504.1860158215
1235,[2021-02-22 15:03:17.332] $GPGGA,60316.9,3713.9064348000006,N,13701.4601136,E,4,15,0.8,90.7817,M,37.55,M,4.0,0000*6F,37.23177391333334,137.0243352266667,679579.3133067421,4122504.187692817
1236,[2021-02-22 15:03:17.457] $GPGGA,60317.0,3713.9064354999996,N,13701.4601135,E,4,15,0.8,90.779,M,37.55,M,5.0,0000*69,37.23177392499999,137.024335225,679579.3131311872,4122504.1889841426
1237,[2021-02-22 15:03:17.535] $GPGGA,60317.1,3713.9064350000003,N,13701.4601136,E,4,15,0.8,90.7792,M,37.55,M,5.0,0000*6C,37.231773916666675,137.0243352266667,679579.3132988324,4122504.1880626706
1238,[2021-02-22 15:03:17.660] $GPGGA,60317.2,3713.9064346999994,N,13701.460113299998,E,4,15,0.8,90.7796,M,37.55,M,5.0,0000*68,37.23177391166666,137.02433522166663,679579.3128670903,4122504.1874983995
1239,[2021-02-22 15:03:17.754] $GPGGA,60317.3,3713.9064348000006,N,13701.4601123,E,4,15,0.8,90.7799,M,37.55,M,5.0,0000*68,37.23177391333334,137.024335205,679579.3113844672,4122504.1876517064
1240,[2021-02-22 15:03:17.832] $GPGGA,60317.4,3713.9064352,N,13701.460112600002,E,4,15,0.8,90.781,M,37.55,M,5.0,0000*6F,37.231773919999995,137.02433521,679579.31181225,4122504.1884008995
1241,[2021-02-22 15:03:17.957] $GPGGA,60317.5,3713.9064348000006,N,13701.4601135,E,4,15,0.8,90.7803,M,37.55,M,5.0,0000*65,37.23177391333334,137.024335225,679579.313158871,4122504.1876896545
1242,[2021-02-22 15:03:18.035] $GPGGA,60317.6,3713.9064344999997,N,13701.460113,E,4,15,0.8,90.7808,M,37.55,M,5.0,0000*65,37.231773908333324,137.02433521666666,679579.3124314002,4122504.1871190597
1243,[2021-02-22 15:03:18.160] $GPGGA,60317.7,3713.9064344999997,N,13701.4601123,E,4,15,0.8,90.7808,M,37.55,M,5.0,0000*66,37.231773908333324,137.024335205,679579.3113963316,4122504.187096924
1244,[2021-02-22 15:03:18.239] $GPGGA,60317.8,3713.9064334,N,13701.460111700002,E,4,15,0.8,90.7814,M,37.55,M,5.0,0000*65,37.23177388999999,137.02433519500002,679579.310552635,4122504.18504375
1245,[2021-02-22 15:03:18.363] $GPGGA,60317.9,3713.9064339,N,13701.4601123,E,4,15,0.8,90.7809,M,37.55,M,5.0,0000*62,37.23177389833334,137.024335205,679579.3114200606,4122504.1859873612
1246,[2021-02-22 15:03:18.442] $GPGGA,60318.0,3713.9064346,N,13701.460112600002,E,4,15,0.8,90.7782,M,37.55,M,6.0,0000*66,37.231773909999994,137.02433521,679579.311835979,4122504.187291337
1247,[2021-02-22 15:03:18.535] $GPGGA,60318.1,3713.9064343,N,13701.4601129,E,4,15,0.8,90.7785,M,37.55,M,6.0,0000*6A,37.231773905000004,137.024335215,679579.3122914454,4122504.1867460436
