,Format,Time,Latitude,LatType,Longitude,LonType,Status,Satellite,LevelAccuracy,Altitude(sea),M(sea),Altitude(geoid),M(geoid),DGPS use,checksum,Lat,Lon,UTM_X,UTM_Y
894,[2021-02-22 15:17:18.697] $GPGGA,61718.3,3713.89658015,N,13701.4366306,E,4,8.0,1.3,89.033,M,36.77,M,2.3,0000*7C,37.231609669166666,137.02394384333334,679544.9793422087,4122485.2212437284
896,[2021-02-22 15:17:18.807] $GPGGA,61718.4,3713.89657866,N,13701.43662574,E,4,8.0,1.3,89.030,M,36.77,M,2.4,0000*7D,37.23160964433334,137.02394376233332,679544.972214767,4122485.218334657
898,[2021-02-22 15:17:18.901] $GPGGA,61718.5,3713.89657901,N,13701.43662885,E,4,8.0,1.3,89.030,M,36.77,M,2.5,0000*7E,37.23160965016667,137.0239438141667,679544.9767996068,4122485.21908023
900,[2021-02-22 15:17:19.010] $GPGGA,61718.6,3713.8965773,N,13701.43662243,E,4,8.0,1.3,89.032,M,36.77,M,2.6,0000*70,37.23160962166667,137.02394370716667,679544.9673741314,4122485.215714998
902,[2021-02-22 15:17:19.104] $GPGGA,61718.7,3713.89658053,N,13701.43662623,E,4,8.0,1.3,89.046,M,36.77,M,2.7,0000*7C,37.231609675499996,137.0239437705,679544.9728653771,4122485.221808288
904,[2021-02-22 15:17:19.213] $GPGGA,61718.8,3713.8965783,N,13701.43662167,E,4,8.0,1.3,89.035,M,36.77,M,2.8,0000*7D,37.231609638333325,137.02394369450002,679544.9662108006,4122485.21754024
906,[2021-02-22 15:17:19.291] $GPGGA,61718.9,3713.89657895,N,13701.43662473,E,4,8.0,1.3,89.041,M,36.77,M,2.9,0000*71,37.231609649166664,137.02394374550002,679544.9707098426,4122485.218839013
908,[2021-02-22 15:17:19.416] $GPGGA,61719.0,3713.8965785,N,13701.43662419,E,4,8.0,1.3,89.037,M,36.77,M,3.0,0000*75,37.23160964166667,137.0239437365,679544.9699291494,4122485.2179897693
910,[2021-02-22 15:17:19.494] $GPGGA,61719.1,3713.89657739,N,13701.4366248,E,4,8.0,1.3,89.039,M,36.77,M,3.1,0000*7B,37.23160962316666,137.0239437466667,679544.9708750339,4122485.215956362
912,[2021-02-22 15:17:19.619] $GPGGA,61719.2,3713.89657848,N,13701.43662659,E,4,8.0,1.3,89.042,M,36.77,M,3.2,0000*78,37.231609641333336,137.0239437765,679544.9734787578,4122485.2180286627
914,[2021-02-22 15:17:19.697] $GPGGA,61719.3,3713.89657944,N,13701.43661857,E,4,8.0,1.3,89.037,M,36.77,M,2.3,0000*75,37.23160965733334,137.02394364283333,679544.9615818339,4122485.2195504
916,[2021-02-22 15:17:19.807] $GPGGA,61719.4,3713.8965821,N,13701.43662658,E,4,8.0,1.3,89.030,M,36.77,M,2.4,0000*75,37.23160970166666,137.0239437763333,679544.9733208327,4122485.2247227095
918,[2021-02-22 15:17:19.900] $GPGGA,61719.5,3713.89658445,N,13701.43662772,E,4,8.0,1.3,89.034,M,36.77,M,2.5,0000*7E,37.231609740833335,137.02394379533334,679544.9749136029,4122485.2291045412
920,[2021-02-22 15:17:20.010] $GPGGA,61719.6,3713.89657883,N,13701.43662398,E,4,8.0,1.3,89.036,M,36.77,M,2.6,0000*75,37.231609647166664,137.023943733,679544.9696055809,4122485.218593389
922,[2021-02-22 15:17:20.104] $GPGGA,61719.7,3713.89658191,N,13701.43662818,E,4,8.0,1.3,89.036,M,36.77,M,2.7,0000*73,37.2316096985,137.02394380299998,679544.9756942231,4122485.224421935
924,[2021-02-22 15:17:20.213] $GPGGA,61719.8,3713.89658506,N,13701.43662715,E,4,8.0,1.3,89.042,M,36.77,M,2.8,0000*78,37.23160975099999,137.02394378583332,679544.974046638,4122485.2302145762
926,[2021-02-22 15:17:20.307] $GPGGA,61719.9,3713.89658063,N,13701.43662189,E,4,8.0,1.3,89.033,M,36.77,M,2.9,0000*7B,37.23160967716667,137.02394369816665,679544.9664439777,4122485.221856
928,[2021-02-22 15:17:20.416] $GPGGA,61720.0,3713.89657705,N,13701.43661435,E,4,8.0,1.3,89.039,M,36.77,M,3.0,0000*73,37.2316096175,137.02394357249997,679544.9554363297,4122485.2149972175
930,[2021-02-22 15:17:20.494] $GPGGA,61720.1,3713.89657964,N,13701.4366152,E,4,8.0,1.3,89.026,M,36.77,M,3.1,0000*71,37.23160966066667,137.0239435866667,679544.9565907978,4122485.2198137064
932,[2021-02-22 15:17:20.604] $GPGGA,61720.2,3713.8965786,N,13701.43661882,E,4,8.0,1.3,89.036,M,36.77,M,3.2,0000*70,37.231609643333336,137.023943647,679544.9619847175,4122485.2180049154
