,Format,Time,Latitude,LatType,Longitude,LonType,Status,Satellite,LevelAccuracy,Altitude(sea),M(sea),Altitude(geoid),M(geoid),DGPS use,checksum,Lat,Lon,UTM_X,UTM_Y
403,[2021-02-22 16:17:46.410] $GPGGA,71746.0,3713.96842499,N,13701.45441296,E,4,7.0,1.2,97.42200000000001,M,36.771,M,1.0,0979*72,37.23280708316667,137.024240216,679568.4324189527,4122618.6441548476
404,[2021-02-22 16:17:46.504] $GPGGA,71746.1,3713.96842488,N,13701.45441046,E,4,7.0,1.2,97.427,M,36.771,M,1.1,0979*78,37.232807081333334,137.02424017433336,679568.4287266769,4122618.6438723737
405,[2021-02-22 16:17:46.614] $GPGGA,71746.2,3713.96842321,N,13701.45441178,E,4,7.0,1.2,97.431,M,36.771,M,1.2,0979*77,37.23280705349999,137.02424019633332,679568.4307445372,4122618.6408258276
406,[2021-02-22 16:17:46.707] $GPGGA,71746.3,3713.96842291,N,13701.45441064,E,4,7.0,1.2,97.434,M,36.771,M,1.3,0979*74,37.2328070485,137.02424017733333,679568.42907074,4122618.6402349994
407,[2021-02-22 16:17:46.817] $GPGGA,71746.4,3713.96842163,N,13701.4544113,E,4,7.0,1.2,97.431,M,36.771,M,1.4,0979*7F,37.23280702716667,137.02424018833332,679568.430097271,4122618.6378888017
408,[2021-02-22 16:17:46.910] $GPGGA,71746.5,3713.96842087,N,13701.45441122,E,4,7.0,1.2,97.429,M,36.771,M,1.5,0979*7E,37.232807014500004,137.02424018700003,679568.4300090367,4122618.6364808255
409,[2021-02-22 16:17:47.020] $GPGGA,71746.6,3713.96842206,N,13701.45441476,E,4,7.0,1.2,97.429,M,36.771,M,1.6,0979*71,37.23280703433334,137.02424024600003,679568.4351963981,4122618.6387933996
410,[2021-02-22 16:17:47.114] $GPGGA,71746.7,3713.9684207,N,13701.45441209,E,4,7.0,1.2,97.428,M,36.771,M,1.7,0979*7D,37.23280701166667,137.02424020149996,679568.4313021807,4122618.63619396
411,[2021-02-22 16:17:47.207] $GPGGA,71746.8,3713.96842073,N,13701.454413,E,4,7.0,1.2,97.432,M,36.771,M,1.8,0979*7D,37.23280701216667,137.02424021666664,679568.4326465662,4122618.636278213
412,[2021-02-22 16:17:47.317] $GPGGA,71746.9,3713.96842068,N,13701.45441335,E,4,7.0,1.2,97.432,M,36.771,M,1.9,0979*71,37.23280701133333,137.02424022250003,679568.4331660764,4122618.636196817
413,[2021-02-22 16:17:47.410] $GPGGA,71747.0,3713.96841973,N,13701.45441291,E,4,7.0,1.2,97.427,M,36.771,M,2.0,0979*78,37.2328069955,137.02424021516666,679568.4325530372,4122618.6344260946
