,Format,Time,Latitude,LatType,Longitude,LonType,Status,Satellite,LevelAccuracy,Altitude(sea),M(sea),Altitude(geoid),M(geoid),DGPS use,checksum,Lat,Lon,UTM_X,UTM_Y
390,[2021-02-22 16:22:34.797] $GNGGA,72234.2,3713.988001398,N,13701.478262167,E,4,12,0.99,94.494,M,37.566,M,62.2,2006*6A,37.23313335663333,137.02463770278334,679602.9227107489,4122655.600486633
391,[2021-02-22 16:22:34.875] $GNGGA,72234.3,3713.9880004509996,N,13701.478261696,E,4,12,0.99,94.49600000000001,M,37.566,M,62.3,2006*61,37.233133340849996,137.02463769493332,679602.922051765,4122655.5987204746
392,[2021-02-22 16:22:34.984] $GNGGA,72234.4,3713.988000461,N,13701.478261365,E,4,12,0.99,94.494,M,37.566,M,62.4,2006*69,37.23313334101667,137.02463768941666,679602.921561939,4122655.598728499
393,[2021-02-22 16:22:35.078] $GNGGA,72234.5,3713.987998903,N,13701.478260154,E,4,12,0.99,94.49600000000001,M,37.566,M,62.5,2006*64,37.23313331505,137.02463766923333,679602.9198329273,4122655.595809031
394,[2021-02-22 16:22:35.203] $GNGGA,72234.6,3713.9879982559996,N,13701.478259532,E,4,12,0.99,94.49700000000001,M,37.566,M,62.6,2006*60,37.23313330426666,137.02463765886665,679602.9189388023,4122655.594592878
395,[2021-02-22 16:22:35.281] $GNGGA,72234.7,3713.9879979190005,N,13701.478259613,E,4,12,0.99,94.494,M,37.566,M,62.7,2006*6C,37.23313329865001,137.02463766021668,679602.9190719054,4122655.5939722373
396,[2021-02-22 16:22:35.375] $GNGGA,72234.8,3713.9879975540002,N,13701.478258851,E,4,12,0.99,94.494,M,37.566,M,62.8,2006*60,37.23313329256668,137.02463764751667,679602.9179596158,4122655.5932731526
397,[2021-02-22 16:22:35.484] $GNGGA,72234.9,3713.987996739,N,13701.478259076,E,4,12,0.99,94.494,M,37.566,M,62.9,2006*64,37.23313327898334,137.0246376512667,679602.9183245507,4122655.591773112
398,[2021-02-22 16:22:35.594] $GNGGA,72235.0,3713.9879966840003,N,13701.478259943999,E,4,12,0.99,94.49600000000001,M,37.566,M,63.0,2006*69,37.233133278066674,137.02463766573334,679602.919610187,4122655.5916988547
399,[2021-02-22 16:22:35.672] $GNGGA,72235.1,3713.987995974,N,13701.47826159,E,4,12,0.99,94.495,M,37.566,M,63.1,2006*67,37.23313326623333,137.02463769316668,679602.9220721214,4122655.5904379296
400,[2021-02-22 16:22:35.781] $GNGGA,72235.2,3713.987996367,N,13701.478261386,E,4,12,0.99,94.491,M,37.566,M,63.2,2006*69,37.23313327278333,137.02463768976668,679602.9217549314,4122655.5911582406
401,[2021-02-22 16:22:35.875] $GNGGA,72235.3,3713.987995398,N,13701.478261335,E,4,12,0.99,94.49700000000001,M,37.566,M,63.3,2006*64,37.23313325663333,137.02463768891667,679602.9217178501,4122655.5893646833
402,[2021-02-22 16:22:35.984] $GNGGA,72235.4,3713.987995825,N,13701.478260085,E,4,12,0.99,94.494,M,37.566,M,63.4,2006*63,37.23313326375,137.02463766808333,679602.9198526536,4122655.5901147886
403,[2021-02-22 16:22:36.093] $GNGGA,72235.5,3713.9879956890004,N,13701.478259982,E,4,12,0.99,94.494,M,37.566,M,63.5,2006*6F,37.233133261483346,137.02463766636666,679602.9197057312,4122655.5898600304
404,[2021-02-22 16:22:36.172] $GNGGA,72235.6,3713.987995432,N,13701.478258808998,E,4,12,0.99,94.495,M,37.566,M,63.6,2006*6F,37.2331332572,137.02463764681664,679602.917981447,4122655.5893476685
405,[2021-02-22 16:22:36.281] $GNGGA,72235.7,3713.987995537,N,13701.478258401,E,4,12,0.99,94.495,M,37.566,M,63.7,2006*6F,37.23313325895,137.0246376400167,679602.9173740114,4122655.589528936
406,[2021-02-22 16:22:36.375] $GNGGA,72235.8,3713.987996166,N,13701.478259198,E,4,12,0.99,94.495,M,37.566,M,63.8,2006*68,37.23313326943333,137.0246376533,679602.9185276091,4122655.5907173366
407,[2021-02-22 16:22:36.484] $GNGGA,72235.9,3713.987996208,N,13701.478260515,E,4,12,0.99,94.493,M,37.566,M,63.9,2006*6E,37.23313327013334,137.02463767525,679602.9204733222,4122655.5908366595
408,[2021-02-22 16:22:36.593] $GNGGA,72236.0,3713.9879965190003,N,13701.478261553999,E,4,12,0.99,94.49700000000001,M,37.566,M,64.0,2006*6D,37.233133275316675,137.02463769256664,679602.9219973274,4122655.5914446455
409,[2021-02-22 16:22:36.672] $GNGGA,72236.1,3713.987996967,N,13701.478261246999,E,4,12,0.99,94.494,M,37.566,M,64.1,2006*6E,37.23313328278333,137.02463768744997,679602.9215256623,4122655.5922634075
410,[2021-02-22 16:22:36.781] $GNGGA,72236.2,3713.987995576,N,13701.478261146001,E,4,12,0.99,94.49600000000001,M,37.566,M,64.2,2006*61,37.23313325959999,137.0246376857667,679602.9214313459,4122655.589687875
411,[2021-02-22 16:22:36.875] $GNGGA,72236.3,3713.987996238,N,13701.478260288,E,4,12,0.99,94.495,M,37.566,M,64.3,2006*6C,37.23313327063333,137.0246376714667,679602.9201364855,4122655.5908849575
412,[2021-02-22 16:22:36.984] $GNGGA,72236.4,3713.987996012,N,13701.47826046,E,4,12,0.99,94.49700000000001,M,37.566,M,64.4,2006*64,37.233133266866666,137.02463767433335,679602.92039975,4122655.590472463
413,[2021-02-22 16:22:37.093] $GNGGA,72236.5,3713.987995525,N,13701.478261601002,E,4,12,0.99,94.49799999999999,M,37.566,M,64.5,2006*6D,37.233133258749994,137.02463769335003,679602.9221061463,4122655.589607954
414,[2021-02-22 16:22:37.172] $GNGGA,72236.6,3713.9879945879998,N,13701.478262018001,E,4,12,0.99,94.49700000000001,M,37.566,M,64.6,2006*69,37.23313324313333,137.0246377003,679602.9227598016,4122655.587888375
415,[2021-02-22 16:22:37.281] $GNGGA,72236.7,3713.987994119,N,13701.478260498001,E,4,12,0.99,94.5,M,37.566,M,64.7,2006*64,37.23313323531667,137.0246376749667,679602.9205308174,4122655.586972992
416,[2021-02-22 16:22:37.375] $GNGGA,72236.8,3713.9879949540004,N,13701.478260111999,E,4,12,0.99,94.49700000000001,M,37.566,M,64.8,2006*6D,37.23313324923334,137.0246376685333,679602.9199270261,4122655.5885049263
417,[2021-02-22 16:22:37.484] $GNGGA,72236.9,3713.987996705,N,13701.478261053999,E,4,12,0.99,94.493,M,37.566,M,64.9,2006*63,37.233133278416666,137.0246376842333,679602.9212506481,4122655.591772796
418,[2021-02-22 16:22:37.593] $GNGGA,72237.0,3713.987997565,N,13701.478261052,E,4,12,0.99,94.495,M,37.566,M,65.0,2006*66,37.233133292750004,137.0246376842,679602.9212136755,4122655.593363107
419,[2021-02-22 16:22:37.672] $GNGGA,72237.1,3713.987998545,N,13701.478260193,E,4,12,0.99,94.49600000000001,M,37.566,M,65.1,2006*65,37.233133309083335,137.02463766988333,679602.9199047557,4122655.5951482253
420,[2021-02-22 16:22:37.781] $GNGGA,72237.2,3713.988000153,N,13701.478261565,E,4,12,0.99,94.491,M,37.566,M,65.2,2006*6A,37.23313333588334,137.02463769275002,679602.9218698521,4122655.5981652495
421,[2021-02-22 16:22:37.875] $GNGGA,72237.3,3713.9879999940003,N,13701.478261172,E,4,12,0.99,94.49600000000001,M,37.566,M,65.3,2006*6A,37.23313333323335,137.02463768619998,679602.9212950312,4122655.5978587857
422,[2021-02-22 16:22:37.984] $GNGGA,72237.4,3713.988000885,N,13701.478261245,E,4,12,0.99,94.494,M,37.566,M,65.4,2006*68,37.233133348083335,137.02463768741669,679602.9213677315,4122655.5995087945
423,[2021-02-22 16:22:38.093] $GNGGA,72237.5,3713.9880008090004,N,13701.478261495,E,4,12,0.99,94.494,M,37.566,M,65.5,2006*67,37.23313334681667,137.02463769158334,679602.9217403976,4122655.5993761583
424,[2021-02-22 16:22:38.171] $GNGGA,72237.6,3713.988001684,N,13701.478261925,E,4,12,0.99,94.49700000000001,M,37.566,M,65.6,2006*68,37.23313336140001,137.02463769875,679602.9223416048,4122655.601007871
425,[2021-02-22 16:22:38.281] $GNGGA,72237.7,3713.9880020809996,N,13701.478263908,E,4,12,0.99,94.49600000000001,M,37.566,M,65.7,2006*64,37.23313336801666,137.02463773180003,679602.9252580535,4122655.6018047486
426,[2021-02-22 16:22:38.375] $GNGGA,72237.8,3713.988003707,N,13701.478264791001,E,4,12,0.99,94.49700000000001,M,37.566,M,65.8,2006*64,37.23313339511667,137.02463774651667,679602.9264993782,4122655.604839594
427,[2021-02-22 16:22:38.500] $GNGGA,72237.9,3713.988005008,N,13701.478265468999,E,4,12,0.99,94.495,M,37.566,M,65.9,2006*6D,37.2331334168,137.02463775781663,679602.927450433,4122655.6072669416
428,[2021-02-22 16:22:38.578] $GNGGA,72238.0,3713.988004912,N,13701.478266603,E,4,12,0.99,94.494,M,37.566,M,66.0,2006*6E,37.2331334152,137.0246377767167,679602.9291310196,4122655.607125277
429,[2021-02-22 16:22:38.671] $GNGGA,72238.1,3713.988005373,N,13701.478266207,E,4,12,0.99,94.493,M,37.566,M,66.1,2006*65,37.23313342288333,137.02463777011664,679602.9285272363,4122655.607965266
430,[2021-02-22 16:22:38.781] $GNGGA,72238.2,3713.9880051890004,N,13701.478266451,E,4,12,0.99,94.494,M,37.566,M,66.2,2006*60,37.233133419816674,137.02463777418333,679602.9288953051,4122655.6076327194
431,[2021-02-22 16:22:38.890] $GNGGA,72238.3,3713.988005638,N,13701.478266662,E,4,12,0.99,94.492,M,37.566,M,66.3,2006*69,37.233133427300004,137.02463777769998,679602.9291895372,4122655.6084697153
432,[2021-02-22 16:22:38.984] $GNGGA,72238.4,3713.988005645,N,13701.478267812,E,4,12,0.99,94.492,M,37.566,M,66.4,2006*6B,37.233133427416675,137.02463779686664,679602.9308897004,4122655.608519032
433,[2021-02-22 16:22:39.078] $GNGGA,72238.5,3713.988005909,N,13701.478266543001,E,4,12,0.99,94.493,M,37.566,M,66.5,2006*65,37.233133431816675,137.02463777571668,679602.9290028627,4122655.608967105
434,[2021-02-22 16:22:39.171] $GNGGA,72238.6,3713.988005751,N,13701.478266053,E,4,12,0.99,94.492,M,37.566,M,66.6,2006*63,37.23313342918333,137.02463776755,679602.9282845741,4122655.6086594216
435,[2021-02-22 16:22:39.296] $GNGGA,72238.7,3713.988005595,N,13701.478265723,E,4,12,0.99,94.493,M,37.566,M,66.7,2006*6B,37.23313342658332,137.02463776205,679602.9278027928,4122655.6083604963
436,[2021-02-22 16:22:39.375] $GNGGA,72238.8,3713.9880052159997,N,13701.4782663,E,4,12,0.99,94.49600000000001,M,37.566,M,66.8,2006*64,37.23313342026666,137.02463777166668,679602.9286709626,4122655.6076778714
437,[2021-02-22 16:22:39.484] $GNGGA,72238.9,3713.988005093,N,13701.478265621,E,4,12,0.99,94.49700000000001,M,37.566,M,66.9,2006*6F,37.233133418216674,137.02463776035,679602.9276718284,4122655.607428937
438,[2021-02-22 16:22:39.578] $GNGGA,72239.0,3713.988005375,N,13701.478265538999,E,4,12,0.99,94.492,M,37.566,M,67.0,2006*6B,37.233133422916666,137.0246377589833,679602.9275394201,4122655.6079478376
439,[2021-02-22 16:22:39.703] $GNGGA,72239.1,3713.98800549,N,13701.478265776,E,4,12,0.99,94.493,M,37.566,M,67.1,2006*6F,37.233133424833326,137.02463776293334,679602.9278853139,4122655.608168
440,[2021-02-22 16:22:39.781] $GNGGA,72239.2,3713.988005609,N,13701.478266469,E,4,12,0.99,94.492,M,37.566,M,67.2,2006*62,37.233133426816664,137.02463777448332,679602.9289053066,4122655.6084099817
441,[2021-02-22 16:22:39.874] $GNGGA,72239.3,3713.9880049709996,N,13701.47826604,E,4,12,0.99,94.492,M,37.566,M,67.3,2006*6C,37.23313341618332,137.0246377673333,679602.9282962034,4122655.607216576
442,[2021-02-22 16:22:39.984] $GNGGA,72239.4,3713.988004912,N,13701.478265782,E,4,12,0.99,94.493,M,37.566,M,67.4,2006*62,37.2331334152,137.02463776303335,679602.9279170507,4122655.6070993114
443,[2021-02-22 16:22:40.078] $GNGGA,72239.5,3713.9880048120003,N,13701.478265884,E,4,12,0.99,94.491,M,37.566,M,67.5,2006*68,37.233133413533345,137.02463776473334,679602.9280718274,4122655.6069176104
444,[2021-02-22 16:22:40.203] $GNGGA,72239.6,3713.988004869,N,13701.478267268001,E,4,12,0.99,94.48700000000001,M,37.566,M,67.6,2006*69,37.23313341448334,137.02463778780003,679602.9301160175,4122655.6070667906
445,[2021-02-22 16:22:40.281] $GNGGA,72239.7,3713.9880048890004,N,13701.47826772,E,4,12,0.99,94.48899999999999,M,37.566,M,67.7,2006*60,37.23313341481668,137.02463779533335,679602.9307835735,4122655.607118073
446,[2021-02-22 16:22:40.374] $GNGGA,72239.8,3713.9880043579997,N,13701.478268214,E,4,12,0.99,94.49,M,37.566,M,67.8,2006*62,37.23313340596667,137.02463780356663,679602.9315350235,4122655.606151732
447,[2021-02-22 16:22:40.484] $GNGGA,72239.9,3713.988003901,N,13701.478268301002,E,4,12,0.99,94.48899999999999,M,37.566,M,67.9,2006*6E,37.233133398350006,137.0246378050167,679602.9316817471,4122655.605309367
448,[2021-02-22 16:22:40.578] $GNGGA,72240.0,3713.988003848,N,13701.478268223998,E,4,12,0.99,94.486,M,37.566,M,68.0,2006*6A,37.233133397466666,137.02463780373333,679602.931569985,4122655.6052089203
