,Format,Time,Latitude,LatType,Longitude,LonType,Status,Satellite,LevelAccuracy,Altitude(sea),M(sea),Altitude(geoid),M(geoid),DGPS use,checksum,Lat,Lon,UTM_X,UTM_Y
652,[2021-02-22 16:26:50.679] $GNGGA,72650.1,3713.988005025,N,13701.478255986001,E,4,12.0,1.0,94.61399999999999,M,37.566,M,123.1,2006*51,37.23313341708333,137.0246375997667,679602.9134277841,4122655.6069984525
653,[2021-02-22 16:26:50.788] $GNGGA,72650.2,3713.988007245,N,13701.478255499,E,4,12.0,1.0,94.615,M,37.566,M,123.2,2006*55,37.23313345408333,137.02463759165002,679602.9126198707,4122655.611088434
654,[2021-02-22 16:26:50.882] $GNGGA,72650.3,3713.988007986,N,13701.478255846001,E,4,12.0,1.0,94.61399999999999,M,37.566,M,123.3,2006*5E,37.23313346643333,137.02463759743335,679602.9131036482,4122655.612469719
655,[2021-02-22 16:26:50.976] $GNGGA,72650.4,3713.988007218,N,13701.478258473,E,4,12.0,1.0,94.617,M,37.566,M,123.4,2006*56,37.23313345363333,137.02463764121666,679602.9170184231,4122655.6111325645
656,[2021-02-22 16:26:51.085] $GNGGA,72650.5,3713.9880079520003,N,13701.478261273,E,4,12.0,1.0,94.615,M,37.566,M,123.5,2006*5D,37.23313346586667,137.0246376878833,679602.9211295918,4122655.6125784903
657,[2021-02-22 16:26:51.194] $GNGGA,72650.6,3713.9880095179997,N,13701.478262601999,E,4,12.0,1.0,94.616,M,37.566,M,123.6,2006*53,37.23313349196666,137.0246377100333,679602.9230327655,4122655.6155164815
658,[2021-02-22 16:26:51.272] $GNGGA,72650.7,3713.988010436,N,13701.478264858,E,4,12.0,1.0,94.613,M,37.566,M,123.7,2006*54,37.23313350726667,137.02463774763334,679602.9263322777,4122655.617285468
659,[2021-02-22 16:26:51.382] $GNGGA,72650.8,3713.988011973,N,13701.478265856002,E,4,12.0,1.0,94.615,M,37.566,M,123.8,2006*50,37.233133532883336,137.0246377642667,679602.9277471725,4122655.620159364
660,[2021-02-22 16:26:51.476] $GNGGA,72650.9,3713.988010337,N,13701.478265648999,E,4,12.0,1.0,94.61200000000001,M,37.566,M,123.9,2006*5C,37.23313350561667,137.02463776081663,679602.9275057982,4122655.6171274073
661,[2021-02-22 16:26:51.601] $GNGGA,72651.0,3713.9880105190005,N,13701.478265068,E,4,12.0,1.0,94.609,M,37.566,M,124.0,2006*5F,37.233133508650006,137.02463775113335,679602.9266395108,4122655.6174455998
662,[2021-02-22 16:26:51.679] $GNGGA,72651.1,3713.988011682,N,13701.478264151001,E,4,12.0,1.0,94.613,M,37.566,M,124.1,2006*5E,37.233133528033335,137.02463773585,679602.9252375915,4122655.6195673
663,[2021-02-22 16:26:51.772] $GNGGA,72651.2,3713.9880121740002,N,13701.47826509,E,4,12.0,1.0,94.60799999999999,M,37.566,M,124.2,2006*54,37.23313353623333,137.0246377515,679602.9266065757,4122655.620506841
664,[2021-02-22 16:26:51.882] $GNGGA,72651.3,3713.9880109620003,N,13701.478265093001,E,4,12.0,1.0,94.61399999999999,M,37.566,M,124.3,2006*57,37.233133516033334,137.02463775155002,679602.9266589548,4122655.618265618
665,[2021-02-22 16:26:51.976] $GNGGA,72651.4,3713.988009564,N,13701.478266449,E,4,12.0,1.0,94.61399999999999,M,37.566,M,124.4,2006*55,37.23313349273334,137.02463777414997,679602.9287192906,4122655.6157232225
666,[2021-02-22 16:26:52.101] $GNGGA,72651.5,3713.988007159,N,13701.478265993,E,4,12.0,1.0,94.61200000000001,M,37.566,M,124.5,2006*5E,37.23313345265,137.02463776655,679602.9281401621,4122655.6112612984
667,[2021-02-22 16:26:52.179] $GNGGA,72651.6,3713.988007608,N,13701.478266295,E,4,12.0,1.0,94.61200000000001,M,37.566,M,124.6,2006*53,37.23313346013333,137.02463777158334,679602.9285689531,4122655.612101173
668,[2021-02-22 16:26:52.272] $GNGGA,72651.7,3713.988007717,N,13701.478265671001,E,4,12.0,1.0,94.61,M,37.566,M,124.7,2006*53,37.23313346195,137.02463776118339,679602.9276419715,4122655.612283008
669,[2021-02-22 16:26:52.382] $GNGGA,72651.8,3713.988008421,N,13701.478263197,E,4,12.0,1.0,94.611,M,37.566,M,124.8,2006*52,37.23313347368333,137.02463771994996,679602.9239559508,4122655.6135066496
670,[2021-02-22 16:26:52.476] $GNGGA,72651.9,3713.988007701,N,13701.478264376,E,4,12.0,1.0,94.61399999999999,M,37.566,M,124.9,2006*53,37.23313346168333,137.02463773960002,679602.9257277568,4122655.6122124624
671,[2021-02-22 16:26:52.600] $GNGGA,72652.0,3713.988007555,N,13701.478265206999,E,4,12.0,1.0,94.611,M,37.566,M,125.0,2006*51,37.23313345924999,137.02463775344998,679602.9269622823,4122655.611968751
672,[2021-02-22 16:26:52.679] $GNGGA,72652.1,3713.9880081829997,N,13701.478267755,E,4,12.0,1.0,94.61,M,37.566,M,125.1,2006*50,37.23313346971667,137.02463779591665,679602.9307050266,4122655.6132106823
673,[2021-02-22 16:26:52.772] $GNGGA,72652.2,3713.988009915,N,13701.478270423,E,4,12.0,1.0,94.61,M,37.566,M,125.2,2006*52,37.23313349858333,137.02463784038335,679602.9345815422,4122655.6164980046
674,[2021-02-22 16:26:52.882] $GNGGA,72652.3,3713.988011698,N,13701.478271071,E,4,12.0,1.0,94.61200000000001,M,37.566,M,125.3,2006*51,37.233133528299994,137.02463785118331,679602.9354691734,4122655.6198157524
675,[2021-02-22 16:26:52.976] $GNGGA,72652.4,3713.988012515,N,13701.478269443,E,4,12.0,1.0,94.61399999999999,M,37.566,M,125.4,2006*5E,37.233133541916665,137.02463782404996,679602.9330296213,4122655.621275118
